pname,n,total,max_amt
"ENVIRONMENTAL COMPLIANCE CONSULTANTS, INC.",465,126516644.26,7536321.0
"ELEKTRO-KRUECK-GMBH, ELEKTROINSTALLATIONEN",173,126353899.71,5329034.36
"VALUE RECOVERY GROUP, INC",106,125361554.46,14740000.0
"FOUNDATION HOLDINGS, INC.",55,123090758.05,58781763.11
"DON JONES CONSTRUCTION CO., INC.",319,122934211.27,10864853.0
"SAPIENT GOVERNMENT SERVICES, INC.",87,122790690.82,10749138.99
"PRODUCTION PRODUCTS MANUFACTURING & SALES CO., INC.",235,122195292.92,22181603.79
"SMART GLOBAL SOLUTIONS JV, LLC",89,122124209.3,9526190.0
RAFAEL ADVANCED DEFENSE SYSTEMS LTD.,140,121949631.55,48845293.0
"FEDEX SUPPLY CHAIN DISTRIBUTION SYSTEM, INC.",4,121770115.01,119962446.26
AFCI-CCI JV ONE LLC,133,121417448.68,13497000.0
ASTRONICS TEST SYSTEMS INC,122,121351327.09,44663629.2
MOSAIC TECHNOLOGIES GROUP LLC,137,121048127.75,11876845.0
SAFRAN POWER USA LLC,133,121008792.85,16660576.0
"LUDLUM MEASUREMENTS, INC.",69,120171931.57000001,27427948.0
PIONEER HUMAN SERVICES,305,119866134.65,5925910.4
"KUNWON-CH2M HILL PMC, LLC_K-C PMC TEAM(DIVISON)",168,119602742.75,12378277.0
"CUSTOM MANUFACTURING & ENGINEERING, INC",194,119516675.17,12424890.0
"SOUTHEASTERN COMPUTER CONSULTANTS, INC.",301,119369007.16,5070616.8
"APTIM AECOM DECOMMISSIONING, LLC",14,119206324.14,48774248.0
"S N D MANUFACTURING, LIMITED",200,119204178.47,5928750.0
"KRATOS TECHNOLOGY & TRAINING SOLUTIONS, INC.",50,118853239.33,22542537.43
ONEAL INDUSTRIES INC,177,118643394.3,8108349.8
"UNIVERSITY OF MARYLAND, COLLEGE PARK",223,118139639.89,16999746.0
THE BUILDING PEOPLE LLC,269,118127358.55,5150000.0
"MODERNATX, INC.",11,117311633.08,64906443.0
"CONDOR RELIABILITY SERVICES, INC.",266,116842758.74,3198973.06
MERIDIAN IMAGING SOLUTIONS  INC.,1596,116401007.51,3531231.89
"CHEROKEE NATION HEALTHCARE SERVICES, L.L.C.",440,115587830.74,4070472.16
STANTEC GS INC.,554,114513036.84,7765923.98
PREMIER PRECISION MACHINING LLC,48,113919139.5,27645568.77
"KEYSTONE OCEAN SERVICES, INC.",605,113751019.95,5739020.0
ADVANCED DECISION VECTORS LLC,551,113749188.31,5412395.34
"CHEROKEE NATION INTEGRATED HEALTH, L.L.C.",122,113163036.22,10103444.64
"THE CHEROKEE 8A GROUP, INC.",395,113048783.88,8274000.0
INTELSAT GENERAL COMMUNICATIONS LLC,112,112661762.63,12483348.0
"GBX CONSULTANTS, INC.",109,112634218.41,5589233.74
FRONTLINE KING GEORGE JV LLC,152,112602518.99,14638000.0
THE TRAXIS GROUP B.V.,244,112397268.65,6735630.0
AECHELON TECHNOLOGY INC,133,112341295.81,20252904.0
"JORDAN-VERSAR, LLC",34,111641453.53,55547000.0
"LONE STAR AEROSPACE, INC.",193,110783663.23,5787981.64
"AG PROCESSING INC., A COOPERATIVE",19,110420371.5,24606040.0
"INFORMATION MANAGEMENT CONSULTANTS, INC.",239,110012413.37,7600000.0
DEUTSCHE TELEKOM AG,520,109843372.34,14120361.94
"TYONEK AIRCRAFT OVERHAUL, LLC",71,109397673.48,21969901.25
"ADVANCED SYSTEMS SUPPORTABILITY ENGINEERING TECHNOLOGIES AND TOOLS, INC",283,108778134.91,5497829.0
"INTEGRYS ENERGY GROUP, INC.",119,108249439.13,12600000.0
GREENZONE SOLUTIONS LLC,180,108111241.52,11824896.94
"FSA + JKC JOINT VENTURE ONE, LLC",58,108057438.18,53822000.0
GENESIS 360 LLC,330,107682884.11,16773359.0
CORNERSTONE RESEARCH INC,381,107651133.62,3508236.0
REECE VENTURES LTD,114,107542730.94,14448733.0
"PRECISION, LLC",352,106053088.56,6014860.8
KPMG TAX AND ADVISORY LIMITED LIABILITY PARTNERSHIP,73,105992937.38,24559741.4
"TYONEK SERVICES OVERHAUL FACILITY-STENNIS, LLC",145,105104875.26,10562564.18
ROAD & HIGHWAY BUILDERS  LLC,42,105017354.36,51189831.0
DEXTERA CORP,323,104559246.4,6469747.2
"CHEROKEE NATION AEROSPACE AND DEFENSE, L.L.C.",281,104410759.16,7784204.96
"PREMIER PULSES INTERNATIONAL, INC.",95,104387065.42,5238636.6
"PROFESSIONAL BUREAU OF COLLECTIONS OF MARYLAND, INC.",52,104190900.05,12000000.0
MASSA PRODUCTS CORPORATION,292,103986937.72,5614216.74
NATIVE HAWAIIAN VETERANS LLC,309,103355292.79,5569285.32
GRAHAM TECHNOLOGIES LLC,347,103308702.82000001,3600011.4
BOARD OF WATER COMMISSIONERS OF COLUMBUS,161,103017745.73,17197054.2
"GLOBE TRAILER MANUFACTURING, INC",213,102892344.74000001,39613221.27
ONEILL CONTRACTORS INC,286,102874419.83,5990734.0
VECTOR RESOURCES INC,258,102741828.69,13725129.1
GLOBAL ENGINEERING & TECHNOLOGY INC,167,102567954.0,13749561.0
PRECISION AIR INC,245,101860898.97,9900000.0
BLUE BIRD BODY COMPANY,279,101841467.96,6591620.0
CROSSTOWN COURIER SERVICE INC,913,101575138.85,1568416.01
ATTAIN CONSULTING GROUP LLC,97,101521625.09,21965664.5
"MOSAIC ATM, INC.",548,101502008.64,3323730.0
"SCHMIDT-PRIME GROUP, LLC",204,100810110.58,4940000.0
PORTER NOVELLI PUBLIC SERVICES INC.,22,100688211.67,51141531.59
CHEROKEE NATION MECHANICAL LLC,94,99763368.98,21509800.0
ROGERS  LOVELOCK & FRITZ  INC.,155,99536354.77,15341158.5
ENVIRONET INC,87,99445791.35,16839140.0
"CACI AZURE SUMMIT TECHNOLOGY, LLC",244,99415285.81,8399685.0
TIDEWATER DEVELOPMENT SERVICES LLC,95,98950014.3,20860041.0
"DECISION INFORMATION RESOURCES, INC",135,97885200.42999999,4922279.22
BIALEK CORPORATION OF MARYLAND,343,97402025.39,4062249.98
"FASONE CONSTRUCTION, INC.",382,97167265.75,4282832.0
FRONTLINE NATIONAL LLC,592,96920284.98,5973264.04
RQ-AECOM JV,117,95963000.83,10737000.0
"PERCEPTRONICS SOLUTIONS, INC",267,95838123.14,4980000.0
MALONEY-ODIN A JOINT VENTURE,81,95608913.07000001,30951727.0
CAPITAL CURRENCY TEAM,23,95448437.34,61654971.25
"ROGERS, LOVELOCK & FRITZ, INC.",168,95266392.77,14515155.0
IT CADRE LLC,209,94372825.09,3767641.56
CARDNO LIMITED,265,94368401.06,11818828.98
RODCO-BRANDT MANUFACTURING,435,94365715.67,5585048.25
"COGNITIVE MEDICAL SYSTEMS, INC.",41,94169965.84,25198643.09
"SUMMITT FORESTS, INC.",439,94146057.19,2308778.2
"INGENESIS ARORA STAFFING, LLC",884,94093582.21000001,7871904.8
"ACADEMY FOR EDUCATIONAL DEVELOPMENT, INC.",237,93209101.24,7692463.0
NÆRINGS- OG FISKERIDEPARTEMENTET,88,92962226.63,16996381.96
"C & C INTERNATIONAL COMPUTERS & CONSULTANTS, INC.",338,92004182.36,4740426.48
"BARRETT FIREARMS MANUFACTURING, INC.",143,91804967.23,13513990.0
COOPER/PORTS AMERICA LLC,41,91461292.78999999,21781889.67
COOPER-CITIWEST JV,43,91395587.42,12697602.0
"CHEROKEE NATION GOVERNMENT SOLUTIONS, L.L.C.",232,91200477.74,7391980.44
POLARIS ALPHA ADVANCED SYSTEMS INC,154,90951155.85,10039811.74
TEAM GREENZONE JV LLC,67,90471064.62,12241799.88
BERG COMPANIES INC.,91,90167849.06,16350631.44
"GREENWICH AEROGROUP, INC.",239,89739205.72,5822455.2
PRECISION TURBINES INC,475,89739133.23,5243110.32
FLORIDA POWER & LIGHT COMPANY,58,89700028.04,9369804.95
"HIGHERECHELON, INC.",131,89683333.75,12686150.88
CHEROKEE NATION DEFENSE SOLUTIONS LLC,113,89546011.26,9193056.53
"ENLIGHTENED, INC.",232,89530897.84,4500000.0
HANJIN HEAVY INDUSTRIES & CONSTRUCTION HOLDINGS CO.  LTD.,230,88871313.07,7158900.91
EXOANALYTIC SOLUTIONS INC,183,88215528.42,2610000.0
ONE FEDERAL SOLUTION CORPORATION,381,88173322.83,4124264.24
"COMMAND DECISIONS SYSTEMS & SOLUTIONS, INC.",370,88019851.56,3995130.9
"GEOSYNTEC CONSULTANTS, INC.",595,87810899.76,2754343.0
BLUEWAY ONE JV LLC,9,87539250.74,48788000.0
JACOBS - TETRA TECH EC JOINT VENTURE,113,87215616.8,15327533.76
"LOUIS C. ALLEGRONE, INC.",59,86727725.5,32413708.0
WASHINGTON-HARRIS GROUP INC.,503,86503359.17,4407048.34
"AERO PRECISION & REPAIR OVERHAUL COMPANY, INC.",514,86484401.81,4518379.41
J SQUARED INC.,278,86480085.33,3133901.41
JOHNSON CONTROLS SECURITY SOLUTIONS LLC,576,86372087.09,4972352.16
TRI TECH INTERNATIONAL INC,106,86233238.37,18655942.0
"CHOCTAWHATCHEE ELECTRIC COOPERATIVE, INC.",63,86002715.5,13135538.0
GRAND VALLEY MANUFACTURING CO,11,85630794.09,48079939.0
"CH2M HILL KLEINFELDER, A JOINT VENTURE",525,85221588.49,2999998.0
APOLLO INFORMATION SYSTEMS CORP.,90,85207450.91,14793364.9
HAWAIIAN ELECTRIC COMPANY  INC.,285,84973893.35,7543014.93
"ENTERPRISE FURNITURE CONSULTANTS, INC",254,84888039.28999999,7901459.34
"UNIVERSITY OF MARYLAND EMERGENCY MEDICINE ASSOCIATES, P.A.",51,84724838.52,7859511.43
AMERICAN MANUFACTURING CORPORATION,40,84577336.45,80240784.0
VECTOR RESOURCE INC,231,84490044.17,10632000.0
RC CONSTRUCTION CO & MILLSTONE WEBER A JOINT VENTURE,22,83687598.0,81499929.0
"REDWIRE SPACE TECHNOLOGIES, INC.",434,83535144.17,3205000.0
INNOVATE! INC,491,83504146.32,2870056.8
TYONEK GLOBAL SERVICES LLC,182,83443292.24,10609303.0
UNIVERSITY SYSTEM OF NEW HAMPSHIRE,255,83370167.51,6000000.0
BLINDERMANPOWER LLC,39,83253921.0,54773100.0
ADVOCATES FOR HUMAN POTENTIAL INC,158,82385900.56,5840516.0
THE DUTRA GROUP,17,82302739.81,73863110.0
COOPER THOMAS LLC,391,81890927.54,2003989.42
"NEW FRONTIER AVIATION, LLC",356,81865284.14,2244154.53
STRIDER CONSTRUCTION CO INC,123,81792497.28,36477635.0
"SC JONES SERVICES, INC",466,81479354.23,2105600.0
"MARINE POLYMERS, INC",84,81460452.77,11475000.0
CHINOOK SYSTEMS INC,115,80977284.06,8754675.0
SDPM JFM CONSTRUCCIONES JOINT VENTURE,233,80820176.33,14197826.84
MARTIN MARIETTA SPEC COMPONENT,36,80613304.51,15000000.0
VECTOR ATOMIC INC,147,80480139.73,11000000.0
LACLEDE ELECTRIC COOPERATIVE,200,80407505.44,2878578.44
NANOSONIC INC.,477,80284582.65,1750000.0
PRECISION AEROSPACE CORPORATION,277,80234727.23,10062300.0
REDWIRE SPACE INC,100,80070919.10000001,12329564.0
RADIAL SOLUTIONS INC,39,79984004.64,19740662.83
CHOCTAW PREMIER SERVICES LLC,16,79950301.71,32060837.04
"KINGSWOOD CAPITAL MANAGEMENT, LLC",270,79938877.61,4900526.4
"MANUFACTURING ENGINEERING SYSTEMS, LLC",87,79767243.12,9737568.24
VIGOR INDUSTRIAL LLC,149,79697274.47,8508092.0
PREMIER SOLUTIONS HI LLC,220,79480196.62,3671275.8
"INTERNATIONAL HEALTHCARE STAFFING ALLIANCE, LLC",503,79147820.1,1725584.0
CALUMET MONTANA REFINING  LLC,111,78826341.68,8353700.0
CORNERSTONE AUTOMATION SYSTEMS LLC,108,78717638.85,49985632.0
"U.S. COMMITTEE FOR REFUGEES AND IMMIGRANTS, INC.",11,78204263.61,43079506.42
OCEAN BEAUTY SEAFOODS LLC,28,78091360.25,17275079.9
TITAN II INC.,125,77801305.54,15159427.0
"WORLD KINECT GOVERNMENT SOLUTIONS, INC.",11,77762329.45,85544271.0
BOLLORE PARTICIPATIONS SE,76,77361867.5,10000000.0
POLARIS SENSOR TECHNOLOGIES INC,258,77206817.42,2972044.87
"PEOPLE WHO THINK, L.L.C.",13,77148145.0,25456545.0
HONEYBEE ROBOTICS LLC,112,76921924.62,10000000.0
"SKYEPOINT DECISIONS, INC.",69,76921880.33,12658577.82
GLOBAL FBO HOLDINGS INC,2,76890674.09,38516279.43
TYONEK WORLDWIDE SERVICES INC,199,76737275.49,8228214.03
"CASCADES TECHNOLOGIES, INC.",264,76730452.23,3038474.8
"CORNERSTONE SOLUTIONS, INC.",247,76288524.0,5920420.0
"LATA-SHARP REMEDIATION SERVICES, LLC",34,75828734.93,51787996.0
"HEALTH DECISIONS, INC.",208,75705294.27,5092228.0
TETRA TECH/MEAD AND HUNT JOINT VENTURE,359,75626666.67999999,11405848.06
"WICHITA FALLS TRI-TECH, LLC",190,75533735.42,10164508.0
EXHIBIT ARTS. LLC,260,75182098.08,3980405.8
"TRI-TECH FORENSICS, INC.",91,74612155.06,11403805.0
CHEROKEE CRC LLC,108,74380445.39999999,25169063.09
"WOODWARD FST, INC",107,74190991.17,6032545.75
"HEALTH CARE SERVICE CORPORATION, A MUTUAL LEGAL RESERVE COMPANY",25,74087580.41,10864855.82
BAKER-AECOM ENVIRONMENTAL COMPLIANCE JV,57,74072366.23,15360603.67
TELE CONSULTANTS INC,359,74056349.63,3758760.0
"CHEROKEE NATION MANAGEMENT & CONSULTING, L.L.C..",106,74030438.94,12329598.56
"ENERGYSOLUTIONS, INC.",364,73930946.89,4309750.0
"SUMTER ELECTRIC COOPERATIVE, INC.",125,73794705.81,5446917.95
"FIVE STONES INTELLIGENCE, INC.",39,73633146.62,12183162.56
"BLUESTONE ENVIRONMENTAL GROUP, INC.",344,73515836.9,5574815.0
"PREMIER TECHNOLOGY, INC.",106,73309905.15,3871676.15
PRECISION AUTO CARE  INC.,70,73121852.42,3336195.68
"HOWELL INSTRUMENTS, INC.",146,72553117.72,5899108.7
"GENESIS ENGINEERING SOLUTIONS, INC.",79,72492838.4,13455298.0
APPDDICTIONSTUDIO LIMITED LIABILITY COMPANY,354,72331160.43,4111733.57
"AECOM/PARSONS, A JOINT VENTURE",105,72312616.46,14939159.77
"ONEBLOOD, INC",221,72284761.34,2996700.0
"PRECISION COMBUSTION, INC.",276,71860646.21,3920432.0
CDM - AECOM MULTIMEDIA JOINT VENTURE,300,71214907.1,2753191.0
APPDDICTIONSTUDIO LIMITED LIABILITY CO,209,71051421.9,6016577.6
AGVIQ - CH2M HILL JOINT VENTURE III,486,70941129.29,6232538.0
KELLSTROM HOLDING CORPORATION,148,70938355.11,15406776.0
"BHATE ZAPATA, LLC",74,70689318.4,8283170.0
ONE FEDERAL SOLUTION,444,70591330.46000001,4679160.0
"AXIOM CONSULTANTS, INC",157,70518223.24,4260817.62
TRUMBLE CONSTRUCTION LLC,83,70502748.49,7262110.0
FIDELIS SUSTAINABILITY DISTRIBUTION LLC,162,70459076.51,4423079.2
DECISIONONE CORPORATION,86,70339091.58,13492044.33
BRICE-AECOM JV1,65,70296432.97,16225181.44
SUMMIT TECHNOLOGIES  INC.,84,70249557.97,7942486.0
"QUALITY MANUFACTURING SYSTEMS, INC.",59,70213384.77,16148400.0
PHRONESIS GLOBAL TRAINING SOLUTIONS LLC,45,70188878.23,8949526.8
"PARADIGM CONSTRUCTION, L.L.C",242,70020545.17,8987200.0
PETTIBONE CONCRETE CONSTRUCTION INC,140,69844727.24,7437073.77
GREENE MACHINE & MANUFACTURING INC,244,69819387.35,6660032.54
"NEW HAMPSHIRE, STATE OF",110,69720221.52,24625000.0
BRIDGER NATIONAL CONSTRUCTION LLC,52,69543159.7,20923471.0
"TECHNOLOGY AND TELECOMMUNICATIONS CONSULTANTS, INC.",241,69489870.45,1751721.9
"INGENESIS ARORA JOINT VENTURE, LLC",70,69474965.47,16383243.22
SAILDRONE INC,86,69463971.67,15592631.36
"CHEROKEE CONSTRUCTION SERVICES, LLC",265,69417359.67999999,4656000.0
CAMEL MANUFACTURING COMPANY LLC,62,68970536.59,8611440.0
"E-MANAGEMENT CONSULTANTS, INC.",275,68756215.47,7343353.03
NOVA SHIMMICK A JOINT VENTURE,30,68738271.82,66377631.0
LOGZONE INC,313,68663451.55,3675975.43
RIVER TRADING COMPANY LIMITED LIABILITY COMPANY,216,68575233.45,3345675.0
"GREENSTONE CONSTRUCTION, INC.",186,68451296.69,9712115.0
"TWO ONE TWO NEW YORK, INC.",4,67921798.32000001,58019929.56
PACKAGING HOLDINGS LIMITED,25,67741528.87,3929597.58
ERICSSON INC,331,67531133.16,5799977.0
"COLLINS ELBIT VISION SYSTEMS, LLC",54,67415248.09,19713252.0
AVARTARA LLC,305,67390369.74,3065836.8
"PREMIER ENTERPRISE SOLUTIONS, LLC",107,67255497.31,10466026.2
RIVADA PORT GRAHAM SOLUTIONS LLC,55,67159304.28,20722572.77
"NORTH AMERICAN MANUFACTURING COMPANY, LLC",157,67055789.980000004,2294510.4
THALES,43,66879299.2,21494100.0
"SUN PRODUCTS CORPORATION, THE",12,66776097.49,6284003.83
"ASRC CONSTRUCTION HOLDING COMPANY, LLC",89,66547303.43,6002320.0
ORIGINAL FOOTWEAR MANUFACTURING BR INC,32,66434150.22,9732150.0
"THE MILLENNIUM GROUP INTERNATIONAL, LLC",251,66395419.33,3663474.6
ADVANCE DEVELOPMENT & MANUFACTURING CORPORATION,148,66363152.36,6201000.0
COSTAR SERVICES INC,216,66247910.88,5648935.4
SNC MANUFACTURING,55,66214046.2,6308966.4
TRI-TECHNIC INC,169,66193719.74,10683700.0
"TONE COMMUNICATION SERVICES, LLC",26,65996418.089999996,6347156.22
COOPERATIVA MURATORI & CEMENTISTI - C.M.C. DI RAVENNA SOC COOP,234,65898963.58,16487010.47
TENNESSEE ACQUISITION HOLDING B.V.,17,65790825.29,24570119.61
"R. A. MILLER INDUSTRIES, INC.",125,65220382.92,4756590.53
"IEI-TIDEWATER, JV",41,65172476.11,12781565.71
CH2M HILL-METAG JOINT VENTURE,23,65092302.94,61995330.0
"MARSHFIELD CLINIC HEALTH SYSTEM, INC.",74,65015212.8,20553604.0
"BLACK DIAMOND ADVANCED TECHNOLOGY, LLC",62,64538786.79,13453555.2
SIMPLER NORTH AMERICA  LP,86,64406553.64,10655310.0
ACOSTA INC.,31,64389503.96,4801197.53
KONE OYJ,592,63910865.62,5604658.0
"AVITA MEDICAL AMERICAS, LLC",16,63754948.9,25500730.0
PRIME ONE GROUP GENERAL TRADING AND CONTRACTING COMPANY WLL,282,63520229.6,8205127.17
MERIDIAN MEDICAL TECHNOLOGIES  LLC,5,63445978.95,45623186.4
"SNVC, L.C.",41,63270855.65,33392860.81
"ONEIDA ENVIRONMENTAL, LLC",39,63239846.339999996,41721200.0
NIHON HIGHWAY SERVICE CO. LTD.,365,63050490.74,4261549.49
AEROJET ROCKETDYNE COLEMAN AEROSPACE INC,27,63004077.69,24881000.0
CH2M HILL-YUKSEL JOINT VENTURE,43,62840924.91,39961861.0
UNIVERSAL UNDERSTANDING INC,98,62834567.0,12758275.84
TEC-AECOM PACIFIC JOINT VENTURE,85,62672801.03,26200000.0
ASHFORD LEEBCOR ENTERPRISES II LLC,54,62600139.910000004,40979586.67
"KUNWON-CH2M HILL PMC, LLC",164,62547776.05,5401497.0
NO LEMON HOLDING A/S,4,62484353.66,31242176.83
CARDNO GS - AECOM PACIFIC JV,108,62368798.37,5906383.0
"HUNTER DEFENSE TECHNOLOGIES, INC.",70,62197829.24,14283987.26
ENVOY SOLUTIONS LLC,35,62117971.54,12595338.5
BAKER-AECOM JV,115,62037511.56,11268424.0
"UNIVERSITY OF MARYLAND, BALTIMORE",138,61914051.71,7872598.0
"JENKINS SECURITY CONSULTANTS, INC.",181,61736871.79,4677846.93
"CHEROKEE NATION ARMORED SOLUTIONS, LLC",118,61673564.66,5728575.0
"VECTOR STEALTH HOLDINGS II, L.L.C.",90,61640871.85,6804897.77
"CRESTONE, INC.",46,61082857.23,9777293.0
"ASPIRE THERAPY SERVICES AND CONSULTANTS, INC.",408,61036129.92,2359496.06
"BLACKSTONE CONSULTING, INC",395,61007640.76,4738036.98
PREMIER GLOBAL RESOURCES CORPORATION,100,60999481.86,5354405.6
"SHIMMICK CONSTRUCTION COMPANY, INC.",54,60913392.48,21020000.0
PRESIDIO NETWORKED SOLUTIONS  LLC,257,60731405.22,4712901.01
ONEX PARTNERS LP,235,60650736.82,5984437.55
"TEJAS PREMIER BUILDING CONTRACTOR, INC",220,60622687.8,16104806.75
"SKYLINE ELEVATOR WORKS, INC",49,60466922.81,10130000.0
QUANTUM-SYSTEMS INC,14,60409511.0,26426542.67
ONE HORIZON GROUP PLC,12,60390471.93,41118723.71
"CAYUSE NATIVE HAWAIIAN VETERANS, LLC",184,60138635.49,2806669.61
"CHINOOK SYSTEMS, INC",113,60029541.03,6834150.0
WORKFORCE RESOURCES INC,355,60023783.21,8400000.0
MOHAWK NORTHEAST INC,26,59933712.620000005,24434100.0
MCCONNELL JONES LANIER & MURPHY LLP,81,59852673.98,7343325.0
"SKYLINE SOFTWARE SYSTEMS, INC.",94,59841553.34,3176956.4
GUARDIAN PREMIER SOLUTIONS LLC,40,59742842.410000004,8943329.93
GOHYPERSONIC INCORPORATED,142,59726742.79,4038038.08
AMBIT GROUP LLC,98,59394437.32,16031563.01
SUMMIT TECHNOLOGIES INC,243,59239405.77,2507577.0
"SUMMIT2SEA CONSULTING, LLC",87,59071231.83,5459643.2
STANTEC GS - WSP JV,20,58732374.0,12098606.0
PARADIGM MECHANICAL CORP.,225,58627200.82,2945920.48
"PRECISION FOR MEDICINE, INC.",55,58568173.58,4717218.0
XPO LOGISTICS SUPPLY CHAIN HOLDING COMPANY,32,58512570.36,9253704.0
STEEL FOUNDERS SOCIETY OF AMERICA,29,58510295.16,12289225.0
"EBSCO INFORMATION SERVICES, LLC",80,58321765.12,10289115.34
PRECISION BIOSERVICES  INC.,80,58058243.17,4049020.0
VERENDRYE ELECTRIC COOPERATIVE INC,81,58011889.32,5748644.16
ROCKWELL COLLINS AUSTRALIA PTY LIMITED,76,57877219.76,7981885.7
HEALTHCARE SERVICES OF NORTH AMERICA JV,163,57857790.27,4288701.92
NEUMEDICINES INC.,30,57843795.49,13999818.49
PREMIER TRAILER LEASING  INC.,45,57717645.41,40747900.0
PRICEWATERHOUSECOOPERS SERVICES LLC,62,57706180.89,6502083.6
"NETSYNC NETWORK SOLUTIONS, INC.",207,57650173.77,7038639.04
"COLDQUANTA, INC",32,57528410.09,17019905.0
TOTAL QUALITY SYSTEMS INC,206,57502591.42,7055753.19
"PARAGONE SOLUTIONS, INC.",174,57298722.9,5500000.0
ASHFORD LEEBCOR ENTERPRISES LLC,37,57251237.97,28605776.0
FREDERICK COUNTY MARYLAND,71,57187983.63,19689191.5
"QUANTUM DYNAMICS, INC",233,57071323.1,3399051.2
SWITCHING POWER INC.,11,57012407.0,13931675.0
ALLIANT TECHSYSTEMS OPERATIONS LLC,106,56659807.16,10621818.37
"TELE-CONSULTANTS, INC.",329,56461837.3,2274344.25
DYNASIL CORPORATION OF AMERICA,198,56317861.47,2818663.0
SWETS & ZEITLINGER GROUP B.V.,94,56250994.21,5047242.0
SOUTHLAND INDUSTRIES,58,56160428.71,5816935.0
UKPEAGVIK INUPIAT CORPORATION,138,55994424.68,16066496.0
ELBIT SYSTEMS C4I AND CYBER,95,55884209.88,8349887.46
"YORK PRECISION MACHINING AND HYDRAULICS, LLC",143,55866361.95,19463294.0
VANTAGE INDUSTRIES INC,18,55859404.99,43821000.0
"FRONTIER SERVICES, INC.",114,55606936.86,6309045.0
THE HEARST CORPORATION,74,55442314.5,4334650.0
SULPHUR SPRINGS VALLEY ELECTRIC COOPERATIVE INC,184,55434938.03,4647066.0
GET IT DONE (GID) SOLUTIONS LLC,65,55338111.47,4975156.0
EXPERIAN PLC,88,55311844.2,10998500.0
"GREYSTONES CONSULTING GROUP, LLC",184,55255239.72,4001755.36
TEXTAINER EQUIPMENT MANAGEMENT LIMITED,238,55254029.47,1969632.0
"BLUEPRINT CONSULTING SERVICES, LLC",177,55010407.87,3167269.2
"PARADIGMWORKS GROUP, INC.",74,54991215.1,4916418.73
"LYNN/CORNERSTONE HOLDINGS, LLC",154,54925226.01,8509060.0
"ASHFORD INTERNATIONAL, LLC",157,54877373.02,9548665.71
MOHAWK VALLEY MATERIALS INC,123,54694818.56,8889835.02
"PREMIER PRODUCE ONE, LLC",19,54530112.6,10203039.0
"EXXEL OUTDOORS, LLC",24,54204567.1,13112230.0
"CHANGE HEALTHCARE OPERATIONS, LLC",19,54186004.56,26326241.3
GLOBALTEKFORCECOM INC.,9,54010396.22,25780039.2
ROGERS HELICOPTERS INC,266,53913091.26,2623458.0
"WAREHOUSE ONE, INC",231,53883535.64,5907878.05
"ONTIC ENGINEERING AND MANUFACTURING, INC.",159,53871083.4,5902862.0
AMKOR A&E INC.,175,53859155.01,4814262.0
J A JONES INC,35,53836910.35,45877228.35
"ASCENDANT PROGRAM SERVICES, LLC",111,53746882.339999996,3156238.92
PRICEWATERHOUSECOOPERS LLP (8324),138,53681498.64,4606816.32
CHENEGA HEALTHCARE SERVICES LLC,204,53521698.93,5507295.05
"TRIBAL ONE TECHNOLOGY, LLC",51,53280817.55,7463103.0
TURBOPOWER LLC,41,53222942.660000004,21590575.0
"AERIENT, LLC",163,53210012.67,2774182.45
INTELLECTECHS INC,174,52864646.99,2364347.16
FIVE STONES INTELLIGENCE INC,53,52719296.92,7364803.04
MOFFATT & NICHOL - AECOM JV,78,52711029.57,5763411.0
"NETTEK SYSTEMS CONSULTANTS, INC.",117,52689015.05,4777274.6
"TIDEWATER CONTRACTORS, INC",186,52685700.04,18868291.35
ESTUDIOS EDIFICACIONES E INTERVENTORIAS EN INGENIERIA EEII S A S,207,52642200.18,2351843.11
"HAWKINS GLASS WHOLESALERS, L.L.C",112,52545211.62,11985000.0
AVRAM CORPORATION INC.,174,52435750.94,5435482.17
"SECOM CO., LTD.",37,52394039.75,4085854.38
AVALON CONTRACTING INC,341,52388481.64,2998991.22
ONE STOP RECRUITING LLC,229,52383350.63,3418576.16
"PEOPLE'S ACCIDENT INFORMATION SERVICE, INC.",196,52373134.94,3268153.04
"RJH CONSULTANTS, INC.",269,52344977.93,2674752.69
VECTRUS FEDERAL SERVICES GMBH,112,52261718.28,4943325.67
"TECHNERGETICS, LLC",175,51958632.09,3600000.0
"SUMMER CONSULTANTS, INC.",295,51781928.769999996,3623092.71
NATIONAL DISABILITY RIGHTS NETWORK INC,73,51712647.53,3958116.0
CORE TECH-HAWAIIAN DREDGING LLC,13,51501823.18,42876637.0
"EXXEL OUTDOORS, INC.",27,51445712.75,8322070.0
OAKMAN AEROSPACE  LLC,72,50736708.67,7933773.0
LA CASA DEL CAMIONERO INC,27,50732966.33,24720000.0
RADMACHER BROTHERS EXCAVATING CO INC,28,50651150.480000004,26577770.0
MEDICAL RECORDS CORP. OF MARYLAND,93,50582896.02,3256155.28
"NIELSEN BEAUMONT MARINE, INC.",311,50523496.88,2326108.37
POINT ONE USA  LLC,34,50400023.04,12334506.31
"NIHON HIGHWAY SERVICE CO.,LTD.",281,50201129.67,3733175.83
AUXILIO MANAGEMENT SERVICES,185,50192175.11,1972820.23
SUMMER CONSULTANTS INC,312,50142382.86,4125756.0
PRINCETON BIOMEDITECH CORP,13,50138688.12,28728000.0
"ARCHIMEDES GLOBAL, INC",111,50130991.62,2416303.19
"THE CENTURION GROUP, INC.",296,49777824.69,3388599.45
ALLIANCE ONE GROUP LLC,102,49487711.36,3638044.62
