cik,n_ciks,adsh,file_name,file_date,form,root_form,file_type,file_description,period_ending,display_name,sic,doc_ok
76321,1,0001193125-13-085259,d455478d10k.htm,2013-03-01,10-K,10-K,10-K,FORM 10-K,2012-12-31,PARKER DRILLING CO /DE/  (CIK 0000076321),1381.0,True
1173489,1,0001193125-13-109922,d459286d10k.htm,2013-03-15,10-K,10-K,10-K,FORM 10-K,2012-12-31,CEVA INC  (CEVA)  (CIK 0001173489),3674.0,True
1119643,1,0001144204-13-022247,v338179_10k.htm,2013-04-16,10-K,10-K,10-K,FORM 10-K,2012-12-31,NUTRA PHARMA CORP  (CIK 0001119643),2833.0,True
106040,1,0001193125-13-338607,d547947d10k.htm,2013-08-19,10-K,10-K,10-K,FORM 10-K,2013-06-28,WESTERN DIGITAL CORP  (WDC)  (CIK 0000106040),3572.0,True
1078271,1,0001078271-13-000049,extr-06301310k.htm,2013-08-30,10-K,10-K,10-K,FORM 10-K,2013-06-30,EXTREME NETWORKS INC  (EXTR)  (CIK 0001078271),3576.0,True
1173738,1,0001214659-13-000489,f12513110k.htm,2013-02-01,10-K,10-K,10-K,"FOR THE FISCAL YEAR ENDED OCTOBER 31, 2012",2012-10-31,CDEX INC  (CIK 0001173738),3829.0,True
1479683,1,0001213900-13-004567,f10k2013_eliteenergies.htm,2013-08-16,10-K,10-K,10-K,ANNUAL REPORT,2013-03-31,"Elite Energies, Inc.  (CIK 0001479683)",5063.0,True
731657,1,0000731657-13-000002,master10-k2012.htm,2013-03-29,10-K,10-K,10-K,10-K,2012-12-31,SPIRE Corp  (CIK 0000731657),3674.0,True
889348,1,0000889348-13-000009,form10_k.htm,2013-03-13,10-K,10-K,10-K,2012,2013-02-22,CPI AEROSTRUCTURES INC  (CVU)  (CIK 0000889348),3728.0,True
1085869,1,0001085869-13-000007,form10k.htm,2013-03-07,10-K,10-K,10-K,"PERFICIENT, INC. FORM 10-K",2012-12-31,PERFICIENT INC  (PRFT)  (CIK 0001085869),7371.0,True
320121,1,0001140361-13-014720,form10k.htm,2013-04-01,10-K,10-K,10-K,TELOS CORP 10-K 12-31-2012,2012-12-31,TELOS CORP  (TLS)  (CIK 0000320121),7373.0,True
1075656,1,0001193125-13-136647,d443863d10k.htm,2013-04-01,10-K,10-K,10-K,FORM 10-K,2012-12-31,"iGo, Inc.  (CIK 0001075656)",3577.0,True
1495231,1,0001495231-13-000009,izea12123110k.htm,2013-03-29,10-K,10-K,10-K,10-K,2012-12-31,"IZEA, Inc.  (IZEA)  (CIK 0001495231)",7310.0,True
1102358,1,0001554757-13-000228,blastgard_10k.htm,2013-04-16,10-K,10-K,10-K,,2012-12-31,BLASTGARD INTERNATIONAL INC  (CIK 0001102358),2890.0,True
821995,1,0000821995-13-000014,a2012q410k.htm,2013-03-14,10-K,10-K,10-K,10-K,2012-12-31,COLUMBIA LABORATORIES INC  (CIK 0000821995),2834.0,True
1329919,1,0001193125-13-100710,d445824d10k.htm,2013-03-11,10-K,10-K,10-K,FORM 10-K,2012-12-31,"Vocus, Inc.  (CIK 0001329919)",7372.0,True
1499735,1,0001469299-13-000193,aedcform10k063013.htm,2013-10-31,10-K,10-K,10-K,AEDC FORM 10-K 6/30/13,2013-06-30,American Energy Development Corp.  (CIK 0001499735),1311.0,True
1478974,1,0001121781-13-000100,gci10k123112.htm,2013-04-16,10-K,10-K,10-K,"GLOBAL CONDIMENTS, INC.",2012-12-31,"GLOBAL CONDIMENTS, INC.  (CIK 0001478974)",5141.0,True
703361,1,0000703361-13-000018,idti-3312013x10k.htm,2013-05-29,10-K,10-K,10-K,10-K,2013-03-31,INTEGRATED DEVICE TECHNOLOGY INC  (CIK 0000703361),3674.0,True
1448705,1,0000943440-13-000353,mmax_10k.htm,2013-04-01,10-K,10-K,10-K,ANNUAL REPORT,2012-12-31,"MMAX MEDIA, INC.  (BASA)  (CIK 0001448705)",7310.0,True
854800,1,0001178913-13-000945,zk1312883.htm,2013-03-29,10-K,10-K,10-K,10-K,2012-12-31,"MICRONET ENERTEC TECHNOLOGIES, INC.  (TIOG)  (CIK 0000854800)",3670.0,True
1355128,1,0001193125-13-393189,d560743d10k.htm,2013-10-07,10-K,10-K,10-K,FORM 10-K,2013-02-28,OCZ TECHNOLOGY GROUP INC  (CIK 0001355128),3572.0,True
1520512,1,0001213900-13-005063,f10k2013_dynamic.htm,2013-09-13,10-K,10-K,10-K,ANNUAL REPORT,2013-05-31,"Dynamic Nutra Enterprises Holdings, Inc.  (CIK 0001520512)",2834.0,True
922863,1,0001193125-13-104902,d442735d10k.htm,2013-03-13,10-K,10-K,10-K,FORM 10-K,2012-12-31,QUALITY DISTRIBUTION INC  (CIK 0000922863),4213.0,True
1530804,1,0001193125-13-084882,d447216d10k.htm,2013-02-28,10-K,10-K,10-K,FORM 10-K,2012-12-31,Tronox Ltd  (TROX)  (CIK 0001530804),2810.0,True
1168054,1,0001047469-13-001692,a2213143z10-k.htm,2013-02-26,10-K,10-K,10-K,10-K,2012-12-31,CIMAREX ENERGY CO  (CIK 0001168054),1311.0,True
1539447,1,0001213900-13-000002,f10k2012_lucyswater.htm,2013-01-02,10-K,10-K,10-K,ANNUAL REPORT,2012-10-31,LUCY'S WATER WORLD INC  (CIK 0001539447),8200.0,True
1336339,1,0001193125-13-135818,d510181d10k.htm,2013-04-01,10-K,10-K,10-K,FORM 10-K,2012-12-31,Atlas America Public #14-2005 (A) L.P.  (CIK 0001336339),1311.0,True
1318268,1,0001493152-13-000383,form10k.htm,2013-03-12,10-K,10-K,10-K,ANNUAL REPORT,2012-12-31,"MADISON EXPLORATIONS, INC.  (MDEX)  (CIK 0001318268)",1400.0,True
1043337,1,0001144204-13-014041,v334536_10k.htm,2013-03-08,10-K,10-K,10-K,ANNUAL REPORT,2012-12-31,STONERIDGE INC  (SRI)  (CIK 0001043337),3714.0,True
1413990,1,0001398080-13-000020,plq4201310k.htm,2013-08-29,10-K,10-K,10-K,"PORTLOGIC SYSTEMS 10K ANNUAL REPORT FOR FISCAL YEAR ENDING MAY 31, 2013",2013-05-31,Portlogic Systems Inc.  (CIK 0001413990),7372.0,True
1316656,1,0001193125-13-084556,d455656d10k.htm,2013-02-28,10-K,10-K,10-K,FORM 10-K,2012-12-31,Dresser-Rand Group Inc.  (CIK 0001316656),3510.0,True
81362,1,0000081362-13-000005,form10k.htm,2013-03-06,10-K,10-K,10-K,QUAKER CHEMICAL CORPORATION,2012-12-31,QUAKER CHEMICAL CORP  (KWR)  (CIK 0000081362),2990.0,True
1458023,1,0001078782-13-001124,f10k013113_10k.htm,2013-05-30,10-K,10-K,10-K,FORM 10-K ANNUAL REPORT JANUARY 31 2013,2013-01-31,"AMERICAN BUSINESS CHANGE AGENTS, INC.  (FKST)  (CIK 0001458023)",8742.0,True
1047122,1,0001047122-13-000015,rtn-12312012x10k.htm,2013-02-13,10-K,10-K,10-K,10-K,2012-12-31,RAYTHEON CO/  (CIK 0001047122),3812.0,True
1475841,1,0001193125-13-112824,d443183d10k.htm,2013-03-18,10-K,10-K,10-K,FORM 10-K,2012-12-31,National Bank Holdings Corp  (NBHC)  (CIK 0001475841),6021.0,True
1511737,1,0001511737-13-000013,ubnt-06302013x10k.htm,2013-09-13,10-K,10-K,10-K,10-K,2013-06-30,"Ubiquiti Networks, Inc.  (UI)  (CIK 0001511737)",3663.0,True
352747,1,0001437749-13-002943,uni_10k-123112.htm,2013-03-15,10-K,10-K,10-K,FORM 10-K,2012-12-31,UNIGENE LABORATORIES INC  (CIK 0000352747),2833.0,True
1452176,1,0001144204-13-019159,v338031_10k.htm,2013-04-01,10-K,10-K,10-K,10-K,2012-12-31,"SurePure, Inc.  (CIK 0001452176)",3559.0,True
1172222,1,0001047469-14-000752,a2218181z10-k.htm,2014-02-10,10-K,10-K,10-K,10-K,2013-12-31,HAWAIIAN HOLDINGS INC  (HA)  (CIK 0001172222),4512.0,True
19002,1,0001062993-14-002195,form10k.htm,2014-04-15,10-K,10-K,10-K,FORM 10-K,2013-12-31,"Cybrdi, Inc.  (CIK 0000019002)",2836.0,True
1299130,1,0001299130-14-000007,pacb-20131231x10k.htm,2014-03-14,10-K,10-K,10-K,10-K,2013-12-31,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.  (PACB)  (CIK 0001299130)",3826.0,True
1431372,1,0001431372-14-000014,gst-12312013x10k.htm,2014-03-13,10-K,10-K,10-K,10-K,2013-12-31,Gastar Exploration Inc.  (CIK 0001431372),1311.0,True
1418506,1,0001553350-14-000384,livv_10k.htm,2014-04-15,10-K,10-K,10-K,ANNUAL REPORT,2013-12-31,"LivingVentures, Inc.  (CIK 0001418506)",8050.0,True
4127,1,0000004127-14-000046,fy1410k1032014.htm,2014-11-25,10-K,10-K,10-K,10-K,2014-10-03,"SKYWORKS SOLUTIONS, INC.  (SWKS)  (CIK 0000004127)",3674.0,True
73756,1,0000073756-14-000006,oii_10kx12312013.htm,2014-02-20,10-K,10-K,10-K,10-K,2013-12-31,OCEANEERING INTERNATIONAL INC  (OII)  (CIK 0000073756),1389.0,True
804212,1,0000804212-14-000014,arg3311410k.pdf,2014-05-29,10-K,10-K,10-K,"AIRGAS, INC. FORM 10-K PDF",2014-03-31,AIRGAS INC  (CIK 0000804212),5084.0,True
1069258,1,0001069258-14-000011,ktos2013form10-k.htm,2014-03-12,10-K,10-K,10-K,10-K,2013-12-29,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.  (KTOS)  (CIK 0001069258)",3760.0,True
1379246,1,0001379246-14-000022,body-2013122810k.htm,2014-03-27,10-K,10-K,10-K,10-K,2013-12-28,BODY CENTRAL CORP  (CIK 0001379246),5600.0,True
1511139,1,0001193125-14-123058,d699899d10k.htm,2014-03-31,10-K,10-K,10-K,FORM 10-K,2013-12-31,RAAM Global Energy Co  (CIK 0001511139),1311.0,True
785557,1,0000785557-14-000055,dlhc-2014x10kx093014.htm,2014-12-10,10-K,10-K,10-K,10-K,2014-09-30,DLH Holdings Corp.  (DLHC)  (CIK 0000785557),7363.0,True
921503,1,0000921503-14-000014,bth-12312013x10k.htm,2014-03-14,10-K,10-K,10-K,10-K,2013-12-31,BLYTH INC  (CIK 0000921503),2834.0,True
1354327,1,0001193125-14-075673,d650177d10k.htm,2014-02-28,10-K,10-K,10-K,FORM 10K,2013-12-28,"PGT, Inc.  (CIK 0001354327)",3442.0,True
1106644,1,0001010549-14-000114,cphi10k123113.htm,2014-03-20,10-K,10-K,10-K,"CHINA PHARMA HOLDINGS, INC.",2013-12-31,"CHINA PHARMA HOLDINGS, INC.  (CPHI)  (CIK 0001106644)",2834.0,True
910638,1,0001562762-14-000032,c638-20131231x10k.htm,2014-02-28,10-K,10-K,10-K,10-K,2013-12-31,3D SYSTEMS CORP  (DDD)  (CIK 0000910638),7372.0,True
1548240,1,0001213900-14-001859,f10k2013_yewbio.htm,2014-03-31,10-K,10-K,10-K,ANNUAL REPORT,2013-12-31,"Yew Bio-Pharm Group, Inc.  (CIK 0001548240)",100.0,True
1509273,1,0001193125-14-070178,d646995d10k.htm,2014-02-27,10-K,10-K,10-K,10-K,2013-12-31,"C&J Energy Services, Inc.  (CIK 0001509273)",1389.0,True
1430174,1,0001185185-14-000899,oroeastmining10k123113.htm,2014-04-09,10-K,10-K,10-K,10-K,2013-12-31,"Oro East Mining, Inc.  (CIK 0001430174)",6770.0,True
879796,1,0000879796-14-000022,aris-20140731x10k.htm,2014-10-29,10-K,10-K,10-K,10-K,2014-07-31,ARI NETWORK SERVICES INC /WI  (CIK 0000879796),7370.0,True
1355042,1,0001213900-14-002282,f10k2013_chinaauto.htm,2014-04-10,10-K,10-K,10-K,ANNUAL REPORT,2013-12-31,China Auto Logistics Inc  (CIK 0001355042),5010.0,True
1468780,1,0001214659-14-002802,p41114310k.htm,2014-04-15,10-K,10-K,10-K,"FOR THE FISCAL YEAR ENDED DECEMBER 31, 2013",2013-12-31,POWIN CORP  (CIK 0001468780),3990.0,True
912183,1,0001047469-14-001280,a2218356z10-k.htm,2014-02-25,10-K,10-K,10-K,10-K,2013-12-31,CUBIST PHARMACEUTICALS INC  (CIK 0000912183),2834.0,True
1057758,1,0001057758-14-000007,twtc201310-k.htm,2014-02-14,10-K,10-K,10-K,10-K,2013-12-31,tw telecom inc.  (CIK 0001057758),4813.0,True
922247,1,0001213900-14-001241,f10k2013_ctdholdingsinc.htm,2014-03-04,10-K,10-K,10-K,ANNUAL REPORT,2013-12-31,"CTD HOLDINGS INC  (CYTH, CYTHW)  (CIK 0000922247)",2860.0,True
1001902,1,0001193125-14-060890,d643911d10k.htm,2014-02-20,10-K,10-K,10-K,10-K,2013-12-31,INTEVAC INC  (IVAC)  (CIK 0001001902),3559.0,True
883984,1,0000883984-14-000012,icui1231201310-k.htm,2014-02-21,10-K,10-K,10-K,10-K,2013-12-31,ICU MEDICAL INC/DE  (ICUI)  (CIK 0000883984),3841.0,True
1544190,1,0001019687-14-000628,shepherds_10k-123113.htm,2014-02-26,10-K,10-K,10-K,FORM 10-K,2013-12-31,"Shepherd's Finance, LLC  (CIK 0001544190)",6153.0,True
879703,1,0001140361-14-014176,form10k.htm,2014-03-26,10-K,10-K,10-K,DIRECT INSITE CORP 10-K 12-31-2013,2013-12-31,DIRECT INSITE CORP  (CIK 0000879703),7373.0,True
907471,1,0001140361-14-045090,form10k.htm,2014-12-12,10-K,10-K,10-K,META FINANCIAL GROUP INC 10-K 9-30-2014,2014-09-30,META FINANCIAL GROUP INC  (CASH)  (CIK 0000907471),6035.0,True
1145761,1,0001214659-14-002788,us4814010k.htm,2014-04-14,10-K,10-K,10-K,"FOR THE FISCAL YEAR ENDED DECEMBER 31, 2013",2013-12-31,"U.S. China Mining Group, Inc.  (CIK 0001145761)",1220.0,True
28561,1,0001354488-14-004830,dewy_10k.htm,2014-09-26,10-K,10-K,10-K,ANNUAL REPORT,2014-06-30,DEWEY ELECTRONICS CORP  (CIK 0000028561),3480.0,True
1276591,1,0001193125-14-098025,d640312d10k.htm,2014-03-13,10-K,10-K,10-K,FORM 10-K,2013-12-31,HANSEN MEDICAL INC  (CIK 0001276591),3842.0,True
1466815,1,0001564590-14-000629,abcd-10k_20131231.htm,2014-03-06,10-K,10-K,10-K,10-K,2013-12-31,"CAMBIUM LEARNING GROUP, INC.  (CIK 0001466815)",2741.0,True
1359841,1,0001359841-14-000005,hbi-20131228x10k.htm,2014-02-06,10-K,10-K,10-K,FORM 10-K,2013-12-28,Hanesbrands Inc.  (HBI)  (CIK 0001359841),5600.0,True
1022321,1,0001022321-14-000024,gel1231201310-k.htm,2014-02-27,10-K,10-K,10-K,10-K,2013-12-31,"GENESIS ENERGY LP  (GEL, GELPP)  (CIK 0001022321)",5171.0,True
1292900,1,0001292900-14-000006,ibi-12272013x10k.htm,2014-02-25,10-K,10-K,10-K,10-K,2013-12-27,"INTERLINE BRANDS, INC./DE  (CIK 0001292900)",5070.0,True
1582244,1,0001582244-14-000080,cng201410KFinal.htm,2014-12-23,10-K,10-K,10-K,,2014-09-30,Corning Natural Gas Holding Corp  (CIK 0001582244),4923.0,True
1418135,1,0001418135-14-000008,dps-10kx123113.htm,2014-02-20,10-K,10-K,10-K,FORM 10-K,2013-12-31,"Dr Pepper Snapple Group, Inc.  (KDP)  (CIK 0001418135)",2080.0,True
1399542,1,0001564590-14-001192,pub17a-10k_20131231.htm,2014-03-31,10-K,10-K,10-K,10-K,2013-12-31,Atlas Resources Public #17-2007 (A) L.P.  (CIK 0001399542),1311.0,True
844059,1,0000844059-14-000023,patr2014ar.pdf,2014-12-08,10-K,10-K,EX-13,COMPLIMENTARY PDF,2014-09-30,"FRP HOLDINGS, INC.  (FRPH)  (CIK 0000844059)",4210.0,True
1586300,1,0001445305-14-002776,chcgroupltd2014430-10k.htm,2014-07-10,10-K,10-K,10-K,10-K,2014-04-30,CHC Group Ltd.  (CIK 0001586300),4522.0,True
1038357,1,0001038357-14-000022,pxd-20131231x10k.htm,2014-02-27,10-K,10-K,10-K,10-K,2013-12-31,PIONEER NATURAL RESOURCES CO  (CIK 0001038357),1311.0,True
1009626,1,0001009626-14-000183,brcd-10kxfy14.htm,2014-12-19,10-K,10-K,10-K,FORM 10-K,2014-11-01,BROCADE COMMUNICATIONS SYSTEMS INC  (CIK 0001009626),3576.0,True
65596,1,0001354488-14-001493,n13776_10-k.htm,2014-03-31,10-K,10-K,10-K,ANNUAL REPORT,2013-12-31,SIEBERT FINANCIAL CORP  (SIEB)  (CIK 0000065596),6211.0,True
1279363,1,0001279363-14-000030,wcg-20131231x10k.htm,2014-02-14,10-K,10-K,10-K,10-K,2013-12-31,"WELLCARE HEALTH PLANS, INC.  (CIK 0001279363)",6324.0,True
859163,1,0000859163-14-000035,avx-20140331x10k.htm,2014-05-21,10-K,10-K,10-K,10-K,2014-03-31,AVX Corp  (CIK 0000859163),3670.0,True
1569389,1,0001096906-14-000924,geo.htm,2014-07-11,10-K,10-K,10-K,GEO JS TECH GROUP CORP. 10K 2014-03-31,2014-03-31,GEO JS Tech Group Corp.  (CIK 0001569389),1000.0,True
1056239,2,0001193125-14-067312,d644229d10k.htm,2014-02-25,10-K,10-K,10-K,FORM 10-K,2013-12-31,L 3 COMMUNICATIONS HOLDINGS INC  (CIK 0001056239),3663.0,True
824142,1,0000824142-14-000015,aaon10-k.htm,2014-03-13,10-K,10-K,10-K,10-K,2013-12-31,AAON INC  (AAON)  (CIK 0000824142),3585.0,True
896985,1,0001564590-14-006193,dest-10k_20140930.htm,2014-12-12,10-K,10-K,10-K,10-K,2014-09-30,Destination Maternity Corp  (CIK 0000896985),5621.0,True
1324272,1,0001437749-14-003872,ruth20131229_10k.htm,2014-03-11,10-K,10-K,10-K,FORM 10-K,2013-12-29,"Ruths Hospitality Group, Inc.  (CIK 0001324272)",5812.0,True
1449488,1,0001449488-14-000023,compressco2013123110k.htm,2014-03-14,10-K,10-K,10-K,10-K,2013-12-31,"Compressco Partners, L.P.  (CIK 0001449488)",1389.0,True
752714,1,0001193125-14-077423,d647966d10k.htm,2014-02-28,10-K,10-K,10-K,FORM 10-K,2013-12-31,MCGRATH RENTCORP  (MGRC)  (CIK 0000752714),7359.0,True
1571804,1,0001571804-14-000015,10_kanytrans.htm,2014-04-30,10-K,10-K,10-K,CONVERTED BY EDGARWIZ,2014-01-31,ANYTRANSLATION CORP  (CIK 0001571804),7380.0,True
1238289,1,0001564590-14-001174,pub12-10k_20131231.htm,2014-03-31,10-K,10-K,10-K,10-K,2013-12-31,ATLAS AMERICA PUBLIC #12-2003 Limited Partnership  (CIK 0001238289),1311.0,True
1505611,1,0001013762-14-000324,form10k.htm,2014-03-31,10-K,10-K,10-K,"DECISIONPOINT SYSTEMS, INC. FORM 10-K",2013-12-31,"DecisionPoint Systems, Inc.  (CIK 0001505611)",7370.0,True
1015155,1,0001140361-14-014335,form10k.htm,2014-03-27,10-K,10-K,10-K,CHARLES & COLVARD LTD 10-K 12-31-2013,2013-12-31,CHARLES & COLVARD LTD  (CTHR)  (CIK 0001015155),3910.0,True
320335,1,0001193125-14-076801,d622095d10k.htm,2014-02-28,10-K,10-K,10-K,10-K,2013-12-31,"TORCHMARK CORP  (GL, GL-PD)  (CIK 0000320335)",6311.0,True
780571,1,0000780571-14-000014,itri10k123113.htm,2014-02-26,10-K,10-K,10-K,FORM 10-K,2013-12-31,ITRON INC /WA/  (ITRI)  (CIK 0000780571),3825.0,True
1126741,1,0001558370-14-000054,gsit-20140331x10k.htm,2014-06-11,10-K,10-K,10-K,10-K,2014-03-31,GSI TECHNOLOGY INC  (GSIT)  (CIK 0001126741),3674.0,True
713425,1,0001193125-14-267720,d705183d10k.htm,2014-07-14,10-K,10-K,10-K,FORM 10-K,2014-04-30,AMERICAN SOFTWARE INC  (AMSWA)  (CIK 0000713425),7372.0,True
1390705,1,0001551163-14-000084,uplift10kvedgar7.htm,2014-04-15,10-K,10-K,10-K,,2013-12-31,"Uplift Nutrition, Inc.  (CIK 0001390705)",2080.0,True
225211,1,0001354488-14-001911,ohgi_10k.htm,2014-04-15,10-K,10-K,10-K,ANNUAL REPORT,2013-12-31,"One Horizon Group, Inc.  (TGHI)  (CIK 0000225211)",3661.0,True
100625,1,0001144204-14-018005,v371936_10k.htm,2014-03-27,10-K,10-K,10-K,10-K,2013-12-31,SIERRA MONITOR CORP /CA/  (CIK 0000100625),3829.0,True
1351901,1,0001351901-14-000007,form10k.htm,2014-03-31,10-K,10-K,10-K,CIGF6 10K 12-31-13,2013-12-31,Commonwealth Income & Growth Fund VI  (CIK 0001351901),7350.0,True
1052045,1,0001047469-14-001811,a2218474z10-k.htm,2014-03-05,10-K,10-K,10-K,10-K,2013-12-31,"SERVICEMASTER CO, LLC  (CIK 0001052045)",8741.0,True
922487,1,0001140361-14-014443,form10k.htm,2014-03-27,10-K,10-K,10-K,ROYAL BANCSHARES OF PENNSYLVANIA INC 10-K 12-31-2013,2013-12-31,ROYAL BANCSHARES OF PENNSYLVANIA INC  (CIK 0000922487),6022.0,True
1389415,1,0001551163-14-000081,f10k2013edgarv2.htm,2014-04-15,10-K,10-K,10-K,,2013-12-31,INFRASTRUCTURE DEVELOPMENTS CORP.  (CIK 0001389415),8711.0,True
1175416,1,0001175416-14-000005,form10k2014.htm,2014-08-28,10-K,10-K,10-K,ANNUAL REPORT,2014-05-31,STERLING GROUP VENTURES INC  (CIK 0001175416),1400.0,True
62234,1,0001144204-14-048883,v385663_10k.htm,2014-08-12,10-K,10-K,10-K,FORM 10-K,2014-05-29,MARCUS CORP  (MCS)  (CIK 0000062234),7011.0,True
1483496,1,0001387131-14-003359,rdmp-10k_063014.htm,2014-09-30,10-K,10-K,10-K,ANNUAL REPORT,2014-06-30,"RED MOUNTAIN RESOURCES, INC.  (CIK 0001483496)",1311.0,True
814547,1,0000814547-14-000011,fico10-k2014.htm,2014-11-10,10-K,10-K,10-K,10-K,2014-09-30,FAIR ISAAC CORP  (FICO)  (CIK 0000814547),7389.0,True
1092662,1,0001092662-14-000018,form10_k.htm,2014-03-06,10-K,10-K,10-K,,2013-12-31,"CHEMBIO DIAGNOSTICS, INC.  (CIK 0001092662)",2834.0,True
946454,1,0001437749-14-004182,btn20131231_10k.htm,2014-03-14,10-K,10-K,10-K,FORM 10-K,2013-12-31,"BALLANTYNE STRONG, INC.  (CIK 0000946454)",3861.0,True
314197,1,0001010412-14-000069,f10kannualreportdecember3120.htm,2014-04-14,10-K,10-K,10-K,"ANNUAL REPORT ON FORM 10K FOR THE YEAR ENDED DECEMBER 31, 2013",2013-12-31,ERC ENERGY RECOVERY CORP  (CIK 0000314197),9995.0,True
817720,1,0001193125-14-318722,d736661d10k.htm,2014-08-22,10-K,10-K,10-K,FORM 10-K,2014-06-28,SYNAPTICS INC  (SYNA)  (CIK 0000817720),7371.0,True
352998,1,0000950156-14-000019,d902866_igi10knored.htm,2014-03-31,10-K,10-K,10-K,BODY OF FORM 10-K,2013-12-31,"IGI LABORATORIES, INC  (CIK 0000352998)",2836.0,True
10795,1,0001193125-14-426571,d792595d10k.htm,2014-11-26,10-K,10-K,10-K,FORM 10-K,2014-09-30,BECTON DICKINSON & CO  (BDX)  (CIK 0000010795),3841.0,True
1442376,1,0001477932-14-007070,sttk_10k.htm,2014-12-15,10-K,10-K,10-K,FORM 10-K,2014-08-31,"STREAMTRACK, INC.  (CIK 0001442376)",7310.0,True
1286964,1,0001286964-14-000002,herlakp_20131031-10k.htm,2014-01-29,10-K,10-K,10-K,10-K,2013-10-31,"Heron Lake BioEnergy, LLC  (CIK 0001286964)",2860.0,True
720875,1,0001096906-14-001367,dynatronics.htm,2014-09-29,10-K,10-K,10-K,DYNATRONICS CORPORATION 10K 2014-06-30,2014-06-30,DYNATRONICS CORP  (DYNT)  (CIK 0000720875),3845.0,True
33769,1,0000033769-14-000057,bobe-2014425x10k.htm,2014-07-09,10-K,10-K,10-K,10-K,2014-04-25,BOB EVANS FARMS INC  (CIK 0000033769),5812.0,True
55529,1,0001193125-14-272359,d751051d10k.htm,2014-07-18,10-K,10-K,10-K,10-K,2014-04-30,KEWAUNEE SCIENTIFIC CORP /DE/  (KEQU)  (CIK 0000055529),3821.0,True
1239188,1,0001144204-14-018287,v372142_10k.htm,2014-03-27,10-K,10-K,10-K,FORM 10-K,2013-12-31,GENERAL STEEL HOLDINGS INC  (CIK 0001239188),3310.0,True
888228,1,0000888228-14-000009,kmp-20131231x10k.htm,2014-02-18,10-K,10-K,10-K,10-K,2013-12-31,KINDER MORGAN ENERGY PARTNERS L P  (CIK 0000888228),4922.0,True
1413119,1,0001354488-14-001882,kblb_10k.htm,2014-04-15,10-K,10-K,10-K,ANNUAL REPORT,2013-12-31,"Kraig Biocraft Laboratories, Inc  (KBLB)  (CIK 0001413119)",2820.0,True
915389,1,0000915389-14-000013,emn-12312013x10k.htm,2014-02-28,10-K,10-K,10-K,10-K,2013-12-31,EASTMAN CHEMICAL CO  (EMN)  (CIK 0000915389),2821.0,True
720762,1,0001144204-15-060632,v422352_10k.htm,2015-10-23,10-K,10-K,10-K,10-K,2015-07-31,NON INVASIVE MONITORING SYSTEMS INC /FL/  (NIMU)  (CIK 0000720762),3845.0,True
1289550,1,0001193125-15-009096,d828399d10k.htm,2015-01-13,10-K,10-K,10-K,FORM 10-K,2014-09-30,"XENONICS HOLDINGS, INC.  (CIK 0001289550)",3640.0,True
1449349,1,0001199835-15-000132,admd_10k-16361.htm,2015-04-15,10-K,10-K,10-K,ADVANCED MEDICAL ISOTOPE CORP. 12/31/2014 10-K,2014-12-31,ADVANCED MEDICAL ISOTOPE Corp  (RDGL)  (CIK 0001449349),3841.0,True
88205,1,0001047469-15-001007,a2223096z10-k.htm,2015-02-23,10-K,10-K,10-K,10-K,2014-12-31,SPX CORP  (SPXC)  (CIK 0000088205),3540.0,True
949982,1,0001477932-15-003710,aacs_10k.htm,2015-06-04,10-K,10-K,10-K,FORM 10-K,2015-02-28,AMERICAN COMMERCE SOLUTIONS Inc  (CIK 0000949982),3559.0,True
896429,1,0001571049-15-008057,t83198_10k.htm,2015-09-30,10-K,10-K,10-K,FORM 10-K,2015-06-30,"USA TECHNOLOGIES INC  (CTLP, CTLPP)  (CIK 0000896429)",3578.0,True
1606363,1,0001558370-15-000427,gnbc-20141231x10k.pdf,2015-03-31,10-K,10-K,10-K,10-K,2014-12-31,"Green Bancorp, Inc.  (CIK 0001606363)",6021.0,True
1333513,1,0001144204-15-011777,v402458_10k.htm,2015-02-25,10-K,10-K,10-K,FORM 10-K,2014-12-31,"Dealertrack Technologies, Inc  (CIK 0001333513)",7373.0,True
885074,1,0001193125-15-342743,d90606d10k.htm,2015-10-13,10-K,10-K,10-K,FORM 10-K,2015-06-30,AUTHENTIDATE HOLDING CORP  (CIK 0000885074),7373.0,True
883569,1,0001047469-15-000992,a2223039z10-k.htm,2015-02-20,10-K,10-K,10-K,10-K,2015-01-03,"Fossil Group, Inc.  (FOSL, FOSLL)  (CIK 0000883569)",3873.0,True
1506270,1,0001493152-15-000774,form10k.htm,2015-03-10,10-K,10-K,10-K,,2014-12-31,"RIGHTSCORP, INC.  (CIK 0001506270)",7389.0,True
899866,1,0000899866-15-000016,alxn10k12312014.htm,2015-02-06,10-K,10-K,10-K,FORM 10-K,2014-12-31,ALEXION PHARMACEUTICALS INC  (CIK 0000899866),2834.0,True
930775,1,0001104659-15-046302,a15-7407_110k.htm,2015-06-19,10-K,10-K,10-K,10-K,2015-03-31,ENCISION INC  (ECIA)  (CIK 0000930775),3841.0,True
1645590,1,0001047469-15-009279,a2226746z10-k.htm,2015-12-17,10-K,10-K,10-K,10-K,2015-10-31,Hewlett Packard Enterprise Co  (HPE)  (CIK 0001645590),3570.0,True
