load_prices: network unavailable (ModuleNotFoundError); using prices.csv
load_prices: network unavailable (ModuleNotFoundError); using prices.csv

========================================================================================================================================================================================================
UNIVERSE u56: 56 names, 2008-01-02 -> 2026-09-03
========================================================================================================================================================================================================
Eval 2009-01-13 -> 2026-09-03 | IS <= 2016-12-31 | OOS >= 2017-01-01 | G* = 0.75
SPY  CAGR 15.26%  Sharpe 0.890  MaxDD -33.72%  halves 0.957/0.837  OOS Sharpe 0.884
4b bars: Sharpe > 0.957/0.837 halves, > 0.884 OOS, MaxDD <= 20.23%, CAGR >= 10.68%
Eligible names/day: mean 37.5, days with < 20 eligible: 11.0%  (this is the channel through which the literal CAND20 de-grosses)

HARNESS CHECK (gm=off control vs engine.backtest, cost-free)
  CAND20  max |harness - engine| = 0.000e+00
  EWall   max |harness - engine| = 1.388e-17
  worst = 1.388e-17  (EXACT)

FULL GRID u56 - 184 points, ALL reported (46 arms x 4 costs)
                            arm  cost   CAGR  Sharpe  MaxDD     H1     H2  OOS_CAGR  OOS_Sharpe  OOS_MaxDD     TO  gross  bind   m_DD  m_CAGR    p4a    p4b                f4b
151    EWall/budget-top0.4/gmON    25  0.045   0.565 -0.227  0.947  0.075     0.016       0.259     -0.227  7.123  0.750 0.403 -0.025  -0.062  False  False  H1,H2,OOS,DD,CAGR
152        EWall/cadenceD/gmOFF     0  0.115   1.161 -0.153  1.158  1.167     0.126       1.249     -0.153 18.793  0.750 0.000  0.049   0.008  False   True                  -
153        EWall/cadenceD/gmOFF     5  0.104   1.065 -0.159  1.064  1.068     0.116       1.152     -0.159 18.793  0.750 0.000  0.043  -0.002  False  False               CAGR
154        EWall/cadenceD/gmOFF    10  0.094   0.969 -0.169  0.970  0.970     0.105       1.056     -0.169 18.793  0.750 0.000  0.034  -0.013  False  False               CAGR
155        EWall/cadenceD/gmOFF    25  0.064   0.680 -0.202  0.687  0.674     0.074       0.767     -0.202 18.793  0.750 0.000  0.000  -0.043  False  False     H1,H2,OOS,CAGR
156         EWall/cadenceD/gmON     0  0.115   1.161 -0.153  1.158  1.167     0.126       1.249     -0.153 18.793  0.750 0.000  0.049   0.008  False   True                  -
157         EWall/cadenceD/gmON     5  0.104   1.065 -0.159  1.064  1.068     0.116       1.152     -0.159 18.793  0.750 0.000  0.043  -0.002  False  False               CAGR
158         EWall/cadenceD/gmON    10  0.094   0.969 -0.169  0.970  0.970     0.105       1.056     -0.169 18.793  0.750 0.000  0.034  -0.013  False  False               CAGR
159         EWall/cadenceD/gmON    25  0.064   0.680 -0.202  0.687  0.674     0.074       0.767     -0.202 18.793  0.750 0.000  0.000  -0.043  False  False     H1,H2,OOS,CAGR
160        EWall/cadenceM/gmOFF     0  0.123   1.180 -0.169  1.175  1.188     0.136       1.262     -0.169  3.644  0.751 0.000  0.033   0.016  False   True                  -
161        EWall/cadenceM/gmOFF     5  0.121   1.162 -0.170  1.158  1.169     0.133       1.244     -0.170  3.644  0.751 0.000  0.033   0.014  False   True                  -
162        EWall/cadenceM/gmOFF    10  0.119   1.144 -0.170  1.141  1.151     0.131       1.226     -0.170  3.644  0.751 0.000  0.032   0.012  False   True                  -
163        EWall/cadenceM/gmOFF    25  0.112   1.091 -0.171  1.091  1.095     0.125       1.171     -0.171  3.644  0.751 0.000  0.031   0.006  False   True                  -
164         EWall/cadenceM/gmON     0  0.123   1.180 -0.169  1.175  1.188     0.136       1.262     -0.169  3.644  0.751 0.000  0.033   0.016  False   True                  -
165         EWall/cadenceM/gmON     5  0.121   1.162 -0.170  1.158  1.169     0.133       1.244     -0.170  3.644  0.751 0.000  0.033   0.014  False   True                  -
166         EWall/cadenceM/gmON    10  0.119   1.144 -0.170  1.141  1.151     0.131       1.226     -0.170  3.644  0.751 0.000  0.032   0.012  False   True                  -
167         EWall/cadenceM/gmON    25  0.112   1.091 -0.171  1.091  1.095     0.125       1.171     -0.171  3.644  0.751 0.000  0.031   0.006  False   True                  -
168        EWall/cadenceQ/gmOFF     0  0.119   1.099 -0.222  1.239  0.987     0.119       1.062     -0.222  1.913  0.754 0.000 -0.020   0.012  False  False                 DD
169        EWall/cadenceQ/gmOFF     5  0.117   1.090 -0.222  1.230  0.978     0.118       1.053     -0.222  1.913  0.754 0.000 -0.020   0.011  False  False                 DD
170        EWall/cadenceQ/gmOFF    10  0.116   1.081 -0.222  1.221  0.969     0.117       1.044     -0.222  1.913  0.754 0.000 -0.020   0.010  False  False                 DD
171        EWall/cadenceQ/gmOFF    25  0.113   1.055 -0.222  1.195  0.942     0.113       1.016     -0.222  1.913  0.754 0.000 -0.020   0.006  False  False                 DD
172         EWall/cadenceQ/gmON     0  0.119   1.099 -0.222  1.239  0.987     0.119       1.062     -0.222  1.913  0.754 0.000 -0.020   0.012  False  False                 DD
173         EWall/cadenceQ/gmON     5  0.117   1.090 -0.222  1.230  0.978     0.118       1.053     -0.222  1.913  0.754 0.000 -0.020   0.011  False  False                 DD
174         EWall/cadenceQ/gmON    10  0.116   1.081 -0.222  1.221  0.969     0.117       1.044     -0.222  1.913  0.754 0.000 -0.020   0.010  False  False                 DD
175         EWall/cadenceQ/gmON    25  0.113   1.055 -0.222  1.195  0.942     0.113       1.016     -0.222  1.913  0.754 0.000 -0.020   0.006  False  False                 DD
176         EWall/control/gmOFF     0  0.113   1.133 -0.158  1.150  1.121     0.123       1.197     -0.158  8.211  0.750 0.000  0.045   0.006  False   True                  -
177         EWall/control/gmOFF     5  0.109   1.092 -0.158  1.109  1.079     0.118       1.156     -0.158  8.211  0.750 0.000  0.044   0.002  False   True                  -
178         EWall/control/gmOFF    10  0.104   1.050 -0.159  1.068  1.037     0.114       1.114     -0.159  8.211  0.750 0.000  0.044  -0.003  False  False               CAGR
179         EWall/control/gmOFF    25  0.091   0.925 -0.161  0.945  0.910     0.100       0.989     -0.161  8.211  0.750 0.000  0.041  -0.016  False  False            H1,CAGR
180          EWall/control/gmON     0  0.113   1.133 -0.158  1.150  1.121     0.123       1.197     -0.158  8.211  0.750 0.000  0.045   0.006  False   True                  -
181          EWall/control/gmON     5  0.109   1.092 -0.158  1.109  1.079     0.118       1.156     -0.158  8.211  0.750 0.000  0.044   0.002  False   True                  -
182          EWall/control/gmON    10  0.104   1.050 -0.159  1.068  1.037     0.114       1.114     -0.159  8.211  0.750 0.000  0.044  -0.003  False  False               CAGR
183          EWall/control/gmON    25  0.091   0.925 -0.161  0.945  0.910     0.100       0.989     -0.161  8.211  0.750 0.000  0.041  -0.016  False  False            H1,CAGR

REALISED GROSS by arm (mean over all days / mean on rebalance days) - gm=ON should sit at G* on rebalance days
                            TO        gross       gross_reb      
gm                       False  True  False True      False True 
book   fam        param                                          
CAND20 budget-pro 0.1    5.086  5.058 0.718 0.750     0.718 0.750
                  0.2    8.362  8.581 0.718 0.750     0.718 0.750
                  0.4    9.578 10.474 0.717 0.750     0.717 0.750
                  1.25     NaN    NaN   NaN   NaN       NaN   NaN
                  1.5      NaN    NaN   NaN   NaN       NaN   NaN
                  2.0      NaN    NaN   NaN   NaN       NaN   NaN
                  D        NaN    NaN   NaN   NaN       NaN   NaN
                  M        NaN    NaN   NaN   NaN       NaN   NaN
                  Q        NaN    NaN   NaN   NaN       NaN   NaN
                  NaN      NaN    NaN   NaN   NaN       NaN   NaN
       budget-top 0.1    5.173  7.373 0.815 0.750     0.816 0.750
                  0.2    8.473 15.642 0.747 0.750     0.747 0.750
                  0.4    9.587  0.765 0.719 0.750     0.719 0.750
                  1.25     NaN    NaN   NaN   NaN       NaN   NaN
                  1.5      NaN    NaN   NaN   NaN       NaN   NaN
                  2.0      NaN    NaN   NaN   NaN       NaN   NaN
                  D        NaN    NaN   NaN   NaN       NaN   NaN
                  M        NaN    NaN   NaN   NaN       NaN   NaN
                  Q        NaN    NaN   NaN   NaN       NaN   NaN
                  NaN      NaN    NaN   NaN   NaN       NaN   NaN
       cadence    0.1      NaN    NaN   NaN   NaN       NaN   NaN
                  0.2      NaN    NaN   NaN   NaN       NaN   NaN
                  0.4      NaN    NaN   NaN   NaN       NaN   NaN
                  1.25     NaN    NaN   NaN   NaN       NaN   NaN
                  1.5      NaN    NaN   NaN   NaN       NaN   NaN
                  2.0      NaN    NaN   NaN   NaN       NaN   NaN
                  D     22.999 27.053 0.716 0.750     0.716 0.750
                  M      4.332  4.817 0.718 0.752     0.718 0.750
                  Q      2.426  2.708 0.706 0.755     0.707 0.750
                  NaN      NaN    NaN   NaN   NaN       NaN   NaN
       control    0.1      NaN    NaN   NaN   NaN       NaN   NaN
                  0.2      NaN    NaN   NaN   NaN       NaN   NaN
                  0.4      NaN    NaN   NaN   NaN       NaN   NaN
                  1.25     NaN    NaN   NaN   NaN       NaN   NaN
                  1.5      NaN    NaN   NaN   NaN       NaN   NaN
                  2.0      NaN    NaN   NaN   NaN       NaN   NaN
                  D        NaN    NaN   NaN   NaN       NaN   NaN
                  M        NaN    NaN   NaN   NaN       NaN   NaN
                  Q        NaN    NaN   NaN   NaN       NaN   NaN
                  NaN    9.633 10.999 0.717 0.750     0.717 0.750
       hyst       0.1      NaN    NaN   NaN   NaN       NaN   NaN
                  0.2      NaN    NaN   NaN   NaN       NaN   NaN
                  0.4      NaN    NaN   NaN   NaN       NaN   NaN
                  1.25   5.861  7.222 0.717 0.750     0.717 0.750
                  1.5    4.764  6.123 0.717 0.750     0.717 0.750
                  2.0    3.907  5.266 0.717 0.750     0.717 0.750
                  D        NaN    NaN   NaN   NaN       NaN   NaN
                  M        NaN    NaN   NaN   NaN       NaN   NaN
                  Q        NaN    NaN   NaN   NaN       NaN   NaN
                  NaN      NaN    NaN   NaN   NaN       NaN   NaN
EWall  budget-pro 0.1    4.281  4.293 0.750 0.750     0.749 0.750
                  0.2    6.133  6.141 0.750 0.750     0.750 0.750
                  0.4    7.653  7.657 0.750 0.750     0.750 0.750
                  1.25     NaN    NaN   NaN   NaN       NaN   NaN
                  1.5      NaN    NaN   NaN   NaN       NaN   NaN
                  2.0      NaN    NaN   NaN   NaN       NaN   NaN
                  D        NaN    NaN   NaN   NaN       NaN   NaN
                  M        NaN    NaN   NaN   NaN       NaN   NaN
                  Q        NaN    NaN   NaN   NaN       NaN   NaN
                  NaN      NaN    NaN   NaN   NaN       NaN   NaN
       budget-top 0.1    4.401  0.068 0.759 0.750     0.758 0.750
                  0.2    6.273 16.184 0.753 0.750     0.753 0.750
                  0.4    7.784  7.123 0.752 0.750     0.752 0.750
                  1.25     NaN    NaN   NaN   NaN       NaN   NaN
                  1.5      NaN    NaN   NaN   NaN       NaN   NaN
                  2.0      NaN    NaN   NaN   NaN       NaN   NaN
                  D        NaN    NaN   NaN   NaN       NaN   NaN
                  M        NaN    NaN   NaN   NaN       NaN   NaN
                  Q        NaN    NaN   NaN   NaN       NaN   NaN
                  NaN      NaN    NaN   NaN   NaN       NaN   NaN
       cadence    0.1      NaN    NaN   NaN   NaN       NaN   NaN
                  0.2      NaN    NaN   NaN   NaN       NaN   NaN
                  0.4      NaN    NaN   NaN   NaN       NaN   NaN
                  1.25     NaN    NaN   NaN   NaN       NaN   NaN
                  1.5      NaN    NaN   NaN   NaN       NaN   NaN
                  2.0      NaN    NaN   NaN   NaN       NaN   NaN
                  D     18.793 18.793 0.750 0.750     0.750 0.750
                  M      3.644  3.644 0.751 0.751     0.750 0.750
                  Q      1.913  1.913 0.754 0.754     0.750 0.750
                  NaN      NaN    NaN   NaN   NaN       NaN   NaN
       control    0.1      NaN    NaN   NaN   NaN       NaN   NaN
                  0.2      NaN    NaN   NaN   NaN       NaN   NaN
                  0.4      NaN    NaN   NaN   NaN       NaN   NaN
                  1.25     NaN    NaN   NaN   NaN       NaN   NaN
                  1.5      NaN    NaN   NaN   NaN       NaN   NaN
                  2.0      NaN    NaN   NaN   NaN       NaN   NaN
                  D        NaN    NaN   NaN   NaN       NaN   NaN
                  M        NaN    NaN   NaN   NaN       NaN   NaN
                  Q        NaN    NaN   NaN   NaN       NaN   NaN
                  NaN    8.211  8.211 0.750 0.750     0.750 0.750
       hyst       0.1      NaN    NaN   NaN   NaN       NaN   NaN
                  0.2      NaN    NaN   NaN   NaN       NaN   NaN
                  0.4      NaN    NaN   NaN   NaN       NaN   NaN
                  1.25     NaN    NaN   NaN   NaN       NaN   NaN
                  1.5      NaN    NaN   NaN   NaN       NaN   NaN
                  2.0      NaN    NaN   NaN   NaN       NaN   NaN
                  D        NaN    NaN   NaN   NaN       NaN   NaN
                  M        NaN    NaN   NaN   NaN       NaN   NaN
                  Q        NaN    NaN   NaN   NaN       NaN   NaN
                  NaN      NaN    NaN   NaN   NaN       NaN   NaN

EFFECT OF EACH INSTRUMENT vs its OWN-gm control, at 10 bps
  dCAGR/dSharpe/dMaxDD = arm minus the control at the SAME gm.  If an effect is real
  turnover, the gm=OFF and gm=ON columns agree; if it was exposure, they do not.
                     dCAGR_pp         dGross        dMaxDD_pp         dSharpe           dTO         t_dSharpe       
gm                      False   True   False  True      False   True    False  True   False   True      False  True 
book   instrument                                                                                                   
CAND20 budget-pro0.1    1.100   1.922  0.001  0.000    -2.818  -4.007   0.024  0.070 -4.547  -5.940     1.242  1.673
       budget-pro0.2    0.184   0.867  0.001  0.000    -0.538  -1.856  -0.010  0.031 -1.271  -2.418     0.404  1.067
       budget-pro0.4   -0.112   0.093  0.000  0.000     0.014  -0.765  -0.014 -0.003 -0.055  -0.525    -0.427  0.204
       budget-top0.1    2.651   1.140  0.099 -0.000    -4.582 -12.126   0.016 -0.039 -4.460  -3.626     2.205  0.372
       budget-top0.2    1.009  -2.135  0.030 -0.000    -2.802 -21.579  -0.009 -0.250 -1.160   4.644     1.328 -0.510
       budget-top0.4   -0.028 -11.720  0.002 -0.000     0.845   2.125  -0.014 -0.844 -0.046 -10.234    -0.031 -3.445
       cadenceD        -1.755  -1.654 -0.001 -0.000     1.970  -0.071  -0.116 -0.108 13.366  16.054    -2.927 -3.015
       cadenceM         2.052   2.514  0.001  0.001    -1.199  -1.199   0.111  0.150 -5.301  -6.182     2.101  2.480
       cadenceQ         0.793   1.591 -0.011  0.004    -8.814  -8.814  -0.073 -0.005 -7.207  -8.291     0.601  1.055
       hyst1.25         0.222   0.225 -0.000 -0.000     0.844   0.844   0.026  0.025 -3.771  -3.776     0.623  0.626
       hyst1.5          0.244   0.246 -0.000 -0.000     0.828   0.828   0.031  0.029 -4.869  -4.875     0.464  0.464
       hyst2            0.068   0.078 -0.000 -0.000     1.087   1.087   0.052  0.048 -5.726  -5.733     0.001  0.014
EWall  budget-pro0.1    0.753   0.805 -0.001  0.000    -2.853  -3.156   0.032  0.031 -3.930  -3.917     0.941  0.976
       budget-pro0.2    0.332   0.355 -0.000  0.000    -1.921  -2.114   0.008  0.007 -2.078  -2.070     0.558  0.583
       budget-pro0.4    0.042   0.045 -0.000  0.000    -0.869  -0.924  -0.005 -0.006 -0.557  -0.553     0.126  0.133
       budget-top0.1    1.603  -8.858  0.009 -0.000    -5.348  -2.557   0.035 -0.719 -3.809  -8.143     1.447 -3.125
       budget-top0.2    0.579  -9.477  0.003 -0.000    -3.372 -11.875  -0.006 -0.871 -1.938   7.974     0.679 -3.439
       budget-top0.4    0.156  -4.806  0.002 -0.000    -3.049  -1.987  -0.021 -0.357 -0.427  -1.087     0.288 -3.073
       cadenceD        -1.018  -1.018 -0.000 -0.000    -1.000  -1.000  -0.082 -0.082 10.583  10.583    -2.479 -2.479
       cadenceM         1.438   1.438  0.001  0.001    -1.138  -1.138   0.094  0.094 -4.566  -4.566     1.719  1.719
       cadenceQ         1.219   1.219  0.004  0.004    -6.331  -6.331   0.031  0.031 -6.297  -6.297     1.045  1.045
       hyst1.25           NaN     NaN    NaN    NaN       NaN     NaN     NaN    NaN    NaN     NaN       NaN    NaN
       hyst1.5            NaN     NaN    NaN    NaN       NaN     NaN     NaN    NaN    NaN     NaN       NaN    NaN
       hyst2              NaN     NaN    NaN    NaN       NaN     NaN     NaN    NaN    NaN     NaN       NaN    NaN

SURVIVAL TEST per instrument: sign and size of the effect, gm=OFF -> gm=ON
  'survives' = same sign on BOTH dCAGR and dMaxDD and |gm=ON| >= 50% of |gm=OFF| on dCAGR
                      dCAGR_off  dCAGR_on  dMaxDD_off  dMaxDD_on  dGross_off  dGross_on  shrink  survives
book   instrument                                                                                        
CAND20 budget-pro0.1      1.100     1.922      -2.818     -4.007       0.001      0.000   1.747      True
       budget-pro0.2      0.184     0.867      -0.538     -1.856       0.001      0.000   4.704      True
       budget-pro0.4     -0.112     0.093       0.014     -0.765       0.000      0.000  -0.830     False
       budget-top0.1      2.651     1.140      -4.582    -12.126       0.099     -0.000   0.430     False
       budget-top0.2      1.009    -2.135      -2.802    -21.579       0.030     -0.000  -2.116     False
       budget-top0.4     -0.028   -11.720       0.845      2.125       0.002     -0.000 417.988      True
       cadenceD          -1.755    -1.654       1.970     -0.071      -0.001     -0.000   0.942     False
       cadenceM           2.052     2.514      -1.199     -1.199       0.001      0.001   1.225      True
       cadenceQ           0.793     1.591      -8.814     -8.814      -0.011      0.004   2.005      True
       hyst1.25           0.222     0.225       0.844      0.844      -0.000     -0.000   1.012      True
       hyst1.5            0.244     0.246       0.828      0.828      -0.000     -0.000   1.006      True
       hyst2              0.068     0.078       1.087      1.087      -0.000     -0.000   1.153      True
EWall  budget-pro0.1      0.753     0.805      -2.853     -3.156      -0.001      0.000   1.068      True
       budget-pro0.2      0.332     0.355      -1.921     -2.114      -0.000      0.000   1.070      True
       budget-pro0.4      0.042     0.045      -0.869     -0.924      -0.000      0.000   1.070      True
       budget-top0.1      1.603    -8.858      -5.348     -2.557       0.009     -0.000  -5.525     False
       budget-top0.2      0.579    -9.477      -3.372    -11.875       0.003     -0.000 -16.376     False
       budget-top0.4      0.156    -4.806      -3.049     -1.987       0.002     -0.000 -30.831     False
       cadenceD          -1.018    -1.018      -1.000     -1.000      -0.000     -0.000   1.000      True
       cadenceM           1.438     1.438      -1.138     -1.138       0.001      0.001   1.000      True
       cadenceQ           1.219     1.219      -6.331     -6.331       0.004      0.004   1.000      True

WALK-FORWARD (rule 8): parameter chosen on 2009-2016 Sharpe at 10 bps, OOS untouched
  Pre-registered question: does gm CHANGE THE PICK?
                                             picked  IS_Sharpe  OOS_CAGR  OOS_Sharpe  OOS_MaxDD  OOS_4b
book   family     gm                                                                                   
CAND20 control    False        CAND20/control/gmOFF      0.993     0.144       1.170     -0.183    True
       budget-pro False  CAND20/budget-pro0.1/gmOFF      1.025     0.158       1.187     -0.211   False
       budget-top False  CAND20/budget-top0.1/gmOFF      1.055     0.172       1.154     -0.229   False
       cadence    False       CAND20/cadenceM/gmOFF      1.098     0.167       1.286     -0.195    True
       hyst       False          CAND20/hyst2/gmOFF      1.033     0.146       1.231     -0.172    True
       control    True          CAND20/control/gmON      0.976     0.145       1.132     -0.183    True
       budget-pro True    CAND20/budget-pro0.1/gmON      1.051     0.171       1.200     -0.223   False
       budget-top True    CAND20/budget-top0.1/gmON      1.180     0.102       0.877     -0.304   False
       cadence    True         CAND20/cadenceM/gmON      1.089     0.176       1.309     -0.195    True
       hyst       True            CAND20/hyst2/gmON      1.013     0.147       1.188     -0.172    True
EWall  control    False         EWall/control/gmOFF      0.970     0.114       1.114     -0.159   False
       budget-pro False   EWall/budget-pro0.1/gmOFF      1.015     0.123       1.135     -0.187    True
       budget-top False   EWall/budget-top0.1/gmOFF      1.121     0.126       1.065     -0.212   False
       cadence    False        EWall/cadenceQ/gmOFF      1.134     0.117       1.044     -0.222   False
       control    True           EWall/control/gmON      0.970     0.114       1.114     -0.159   False
       budget-pro True     EWall/budget-pro0.1/gmON      1.016     0.123       1.132     -0.190    True
       budget-top True           EWall/control/gmON      0.970     0.114       1.114     -0.159   False
       cadence    True          EWall/cadenceQ/gmON      1.134     0.117       1.044     -0.222   False
  reference RULES v1 baseline  full 6.48%/0.666/-13.83%   OOS 7.78%/0.751/-13.83%
  reference SPY                full 15.26%/0.890/-33.72%   OOS 15.50%/0.884/-33.72%

Does gm change the rule-8 pick?
  CAND20  budget-pro  gmOFF picks budget-pro0.1  (OOS Sh 1.187)   gmON picks budget-pro0.1  (OOS Sh 1.200)   SAME
  CAND20  budget-top  gmOFF picks budget-top0.1  (OOS Sh 1.154)   gmON picks budget-top0.1  (OOS Sh 0.877)   SAME
  CAND20  cadence     gmOFF picks cadenceM       (OOS Sh 1.286)   gmON picks cadenceM       (OOS Sh 1.309)   SAME
  CAND20  hyst        gmOFF picks hyst2          (OOS Sh 1.231)   gmON picks hyst2          (OOS Sh 1.188)   SAME
  EWall   budget-pro  gmOFF picks budget-pro0.1  (OOS Sh 1.135)   gmON picks budget-pro0.1  (OOS Sh 1.132)   SAME
  EWall   budget-top  gmOFF picks budget-top0.1  (OOS Sh 1.065)   gmON picks control        (OOS Sh 1.114)   *** CHANGED ***
  EWall   cadence     gmOFF picks cadenceQ       (OOS Sh 1.044)   gmON picks cadenceQ       (OOS Sh 1.044)   SAME

u56 SUMMARY: 4b passes 93/184 points (gmOFF 51/92, gmON 42/92), 4a passes 0/184

========================================================================================================================================================================================================
UNIVERSE broad136: 136 names, 2008-01-02 -> 2026-09-03
========================================================================================================================================================================================================
Eval 2009-01-13 -> 2026-09-03 | IS <= 2016-12-31 | OOS >= 2017-01-01 | G* = 0.75
SPY  CAGR 15.26%  Sharpe 0.890  MaxDD -33.72%  halves 0.957/0.837  OOS Sharpe 0.884
4b bars: Sharpe > 0.957/0.837 halves, > 0.884 OOS, MaxDD <= 20.23%, CAGR >= 10.68%
Eligible names/day: mean 91.5, days with < 20 eligible: 2.4%  (this is the channel through which the literal CAND20 de-grosses)

HARNESS CHECK (gm=off control vs engine.backtest, cost-free)
  CAND20  max |harness - engine| = 0.000e+00
  EWall   max |harness - engine| = 1.041e-17
  worst = 1.041e-17  (EXACT)

FULL GRID broad136 - 184 points, ALL reported (46 arms x 4 costs)
                            arm  cost  CAGR  Sharpe  MaxDD     H1     H2  OOS_CAGR  OOS_Sharpe  OOS_MaxDD     TO  gross  bind   m_DD  m_CAGR    p4a    p4b                f4b
0    CAND20/budget-pro0.1/gmOFF     0 0.159   1.086 -0.246  1.333  0.893     0.152       0.987     -0.246  5.223  0.740 0.945 -0.044   0.052  False  False                 DD
1    CAND20/budget-pro0.1/gmOFF     5 0.156   1.068 -0.246  1.313  0.876     0.149       0.970     -0.246  5.223  0.740 0.945 -0.044   0.049  False  False                 DD
2    CAND20/budget-pro0.1/gmOFF    10 0.153   1.050 -0.247  1.293  0.860     0.146       0.953     -0.247  5.223  0.740 0.945 -0.044   0.046  False  False                 DD
3    CAND20/budget-pro0.1/gmOFF    25 0.144   0.996 -0.247  1.233  0.810     0.137       0.903     -0.247  5.223  0.740 0.945 -0.045   0.037   True  False              H2,DD
4     CAND20/budget-pro0.1/gmON     0 0.162   1.083 -0.257  1.298  0.925     0.162       1.014     -0.257  5.204  0.750 0.946 -0.055   0.055  False  False                 DD
5     CAND20/budget-pro0.1/gmON     5 0.159   1.065 -0.257  1.278  0.909     0.159       0.997     -0.257  5.204  0.750 0.946 -0.055   0.052  False  False                 DD
6     CAND20/budget-pro0.1/gmON    10 0.156   1.048 -0.257  1.258  0.893     0.156       0.981     -0.257  5.204  0.750 0.946 -0.055   0.049  False  False                 DD
7     CAND20/budget-pro0.1/gmON    25 0.147   0.996 -0.258  1.199  0.846     0.147       0.932     -0.258  5.204  0.750 0.946 -0.056   0.040   True  False                 DD
8    CAND20/budget-pro0.2/gmOFF     0 0.149   1.050 -0.226  1.282  0.857     0.138       0.944     -0.226  9.982  0.739 0.780 -0.023   0.042  False  False                 DD
9    CAND20/budget-pro0.2/gmOFF     5 0.143   1.015 -0.226  1.244  0.824     0.132       0.910     -0.226  9.982  0.739 0.780 -0.024   0.036  False  False              H2,DD
10   CAND20/budget-pro0.2/gmOFF    10 0.137   0.980 -0.226  1.206  0.791     0.127       0.876     -0.226  9.982  0.739 0.780 -0.024   0.031  False  False          H2,OOS,DD
11   CAND20/budget-pro0.2/gmOFF    25 0.120   0.874 -0.228  1.093  0.691     0.110       0.775     -0.228  9.982  0.739 0.780 -0.025   0.014   True  False          H2,OOS,DD
12    CAND20/budget-pro0.2/gmON     0 0.152   1.047 -0.243  1.243  0.892     0.148       0.974     -0.243 10.033  0.750 0.796 -0.041   0.045  False  False                 DD
13    CAND20/budget-pro0.2/gmON     5 0.146   1.012 -0.243  1.205  0.860     0.142       0.941     -0.243 10.033  0.750 0.796 -0.041   0.039  False  False                 DD
14    CAND20/budget-pro0.2/gmON    10 0.140   0.978 -0.244  1.167  0.828     0.137       0.908     -0.244 10.033  0.750 0.796 -0.041   0.034  False  False              H2,DD
15    CAND20/budget-pro0.2/gmON    25 0.123   0.874 -0.244  1.054  0.731     0.119       0.810     -0.244 10.033  0.750 0.796 -0.042   0.017   True  False          H2,OOS,DD
16   CAND20/budget-pro0.4/gmOFF     0 0.145   1.039 -0.200  1.239  0.867     0.136       0.951     -0.200 13.495  0.739 0.098  0.002   0.038  False   True                  -
17   CAND20/budget-pro0.4/gmOFF     5 0.137   0.991 -0.201  1.189  0.820     0.128       0.904     -0.201 13.495  0.739 0.098  0.001   0.030  False  False                 H2
18   CAND20/budget-pro0.4/gmOFF    10 0.129   0.942 -0.202  1.139  0.773     0.120       0.856     -0.202 13.495  0.739 0.098  0.000   0.022   True  False             H2,OOS
19   CAND20/budget-pro0.4/gmOFF    25 0.107   0.797 -0.205  0.990  0.630     0.097       0.712     -0.205 13.495  0.739 0.098 -0.003  -0.000   True  False     H2,OOS,DD,CAGR
20    CAND20/budget-pro0.4/gmON     0 0.147   1.039 -0.224  1.211  0.894     0.143       0.975     -0.224 13.818  0.750 0.118 -0.022   0.040  False  False                 DD
21    CAND20/budget-pro0.4/gmON     5 0.139   0.990 -0.224  1.161  0.847     0.135       0.927     -0.224 13.818  0.750 0.118 -0.022   0.032  False  False                 DD
22    CAND20/budget-pro0.4/gmON    10 0.131   0.942 -0.225  1.110  0.800     0.127       0.879     -0.225 13.818  0.750 0.118 -0.023   0.025  False  False          H2,OOS,DD
23    CAND20/budget-pro0.4/gmON    25 0.108   0.795 -0.227  0.959  0.657     0.103       0.735     -0.227 13.818  0.750 0.118 -0.024   0.001   True  False          H2,OOS,DD
24   CAND20/budget-top0.1/gmOFF     0 0.200   1.140 -0.318  1.314  1.004     0.201       1.094     -0.318  6.274  0.967 0.946 -0.115   0.093  False  False                 DD
25   CAND20/budget-top0.1/gmOFF     5 0.196   1.122 -0.318  1.295  0.987     0.197       1.076     -0.318  6.274  0.967 0.946 -0.116   0.089  False  False                 DD
26   CAND20/budget-top0.1/gmOFF    10 0.192   1.103 -0.318  1.275  0.970     0.193       1.059     -0.318  6.274  0.967 0.946 -0.116   0.085  False  False                 DD
27   CAND20/budget-top0.1/gmOFF    25 0.181   1.049 -0.319  1.216  0.919     0.182       1.006     -0.319  6.274  0.967 0.946 -0.116   0.074  False  False                 DD
28    CAND20/budget-top0.1/gmON     0 0.127   0.861 -0.177  0.944  0.781     0.115       0.792     -0.161  7.399  0.750 0.947  0.026   0.021  False  False          H1,H2,OOS
29    CAND20/budget-top0.1/gmON     5 0.123   0.837 -0.177  0.919  0.757     0.111       0.768     -0.162  7.399  0.750 0.947  0.025   0.016   True  False          H1,H2,OOS
30    CAND20/budget-top0.1/gmON    10 0.119   0.813 -0.181  0.895  0.734     0.107       0.743     -0.163  7.399  0.750 0.947  0.021   0.012   True  False          H1,H2,OOS
31    CAND20/budget-top0.1/gmON    25 0.107   0.740 -0.193  0.821  0.662     0.094       0.670     -0.165  7.399  0.750 0.947  0.009  -0.000   True  False     H1,H2,OOS,CAGR
