panel,rank,label,peak,trough,rec,days,depth
B136,105,E105_2026-05-04,2026-05-01,2026-05-04,2026-05-05,1,-0.0036727879799666185
B136,106,E106_2024-02-26,2024-02-23,2024-02-26,2024-02-29,1,-0.003671548541522962
B136,107,E107_2024-02-05,2024-02-02,2024-02-05,2024-02-07,1,-0.003625982036801645
B136,108,E108_2020-08-31,2020-08-28,2020-08-31,2020-09-01,1,-0.0036239739817253147
B136,109,E109_2026-08-06,2026-08-04,2026-08-06,2026-08-07,2,-0.0035911996162474313
B136,110,E110_2021-01-22,2021-01-21,2021-01-22,2021-01-25,1,-0.0035315880935029575
B136,111,E111_2026-08-11,2026-08-07,2026-08-11,2026-08-13,2,-0.0034917104208157523
B136,112,E112_2018-01-16,2018-01-12,2018-01-16,2018-01-17,1,-0.0034427640477068255
B136,113,E113_2021-04-14,2021-04-13,2021-04-14,2021-04-15,1,-0.003406047684667568
B136,114,E114_2026-01-08,2026-01-06,2026-01-08,2026-01-09,2,-0.0033132311269344905
B136,115,E115_2021-03-30,2021-03-26,2021-03-30,2021-03-31,2,-0.0031716771937432275
B136,116,E116_2017-06-15,2017-06-13,2017-06-15,2017-06-19,2,-0.003167698926764828
B136,117,E117_2026-05-07,2026-05-06,2026-05-07,2026-05-08,1,-0.0030603601388091706
B136,118,E118_2024-11-27,2024-11-26,2024-11-27,2024-11-29,1,-0.0030243305695255573
B136,119,E119_2025-09-05,2025-09-04,2025-09-05,2025-09-09,1,-0.002897151134717557
B136,120,E120_2020-01-10,2020-01-09,2020-01-10,2020-01-13,1,-0.0028883291351805562
B136,121,E121_2019-04-25,2019-04-23,2019-04-25,2019-04-26,2,-0.0028499772001823187
B136,122,E122_2017-10-09,2017-10-05,2017-10-09,2017-10-11,2,-0.0027873937868093668
B136,123,E123_2017-07-31,2017-07-26,2017-07-31,2017-08-02,3,-0.0026970471983260857
B136,124,E124_2017-02-28,2017-02-27,2017-02-28,2017-03-01,1,-0.0026935697144816473
B136,125,E125_2019-10-31,2019-10-30,2019-10-31,2019-11-01,1,-0.0026461739224997727
B136,126,E126_2025-09-17,2025-09-15,2025-09-17,2025-09-18,2,-0.0026159988985267058
B136,127,E127_2020-02-18,2020-02-14,2020-02-18,2020-02-19,1,-0.0025671855197738624
B136,128,E128_2021-11-17,2021-11-16,2021-11-17,2021-11-18,1,-0.0024317629144792186
B136,129,E129_2019-04-17,2019-04-16,2019-04-17,2019-04-22,1,-0.002416478079091733
B136,130,E130_2021-06-09,2021-06-04,2021-06-09,2021-06-10,3,-0.0022606619421371432
B136,131,E131_2024-09-25,2024-09-24,2024-09-25,2024-09-26,1,-0.002197213290460742
B136,132,E132_2024-05-16,2024-05-15,2024-05-16,2024-05-20,1,-0.0020548210754857132
B136,133,E133_2020-12-07,2020-12-04,2020-12-07,2020-12-08,1,-0.0020470230436308023
B136,134,E134_2025-08-11,2025-08-08,2025-08-11,2025-08-12,1,-0.0019834973024437375
B136,135,E135_2017-08-03,2017-08-02,2017-08-03,2017-08-07,1,-0.0019529433646424676
B136,136,E136_2018-08-23,2018-08-21,2018-08-23,2018-08-24,2,-0.0019327863679393653
B136,137,E137_2019-11-11,2019-11-08,2019-11-11,2019-11-12,1,-0.0019269885451238533
B136,138,E138_2020-12-29,2020-12-28,2020-12-29,2020-12-31,1,-0.0019098327449503794
B136,139,E139_2021-07-06,2021-07-02,2021-07-06,2021-07-07,1,-0.0018254927597010084
B136,140,E140_2020-08-13,2020-08-12,2020-08-13,2020-08-17,1,-0.0018020917135961323
B136,141,E141_2024-10-10,2024-10-09,2024-10-10,2024-10-11,1,-0.0017506012165795504
B136,142,E142_2024-09-20,2024-09-19,2024-09-20,2024-09-23,1,-0.0017390368962674208
B136,143,E143_2018-01-18,2018-01-17,2018-01-18,2018-01-19,1,-0.0016702652055239353
B136,144,E144_2024-12-05,2024-12-04,2024-12-05,2024-12-06,1,-0.0016458693717145145
B136,145,E145_2023-12-15,2023-12-14,2023-12-15,2023-12-18,1,-0.0016435114169259801
B136,146,E146_2018-01-10,2018-01-09,2018-01-10,2018-01-11,1,-0.0015351423118412644
B136,147,E147_2026-05-12,2026-05-11,2026-05-12,2026-05-13,1,-0.0015188500135611127
B136,148,E148_2020-11-25,2020-11-24,2020-11-25,2020-11-27,1,-0.001518625495042114
B136,149,E149_2020-01-14,2020-01-13,2020-01-14,2020-01-15,1,-0.0015053691499680166
B136,150,E150_2021-08-31,2021-08-30,2021-08-31,2021-09-02,1,-0.0014905245226772834
B136,151,E151_2017-10-12,2017-10-11,2017-10-12,2017-10-16,1,-0.0014815479931759024
B136,152,E152_2024-09-27,2024-09-26,2024-09-27,2024-09-30,1,-0.0014444167053032642
B136,153,E153_2017-05-31,2017-05-25,2017-05-31,2017-06-01,3,-0.0013390722142514466
B136,154,E154_2024-01-26,2024-01-25,2024-01-26,2024-01-29,1,-0.001266517499050046
B136,155,E155_2021-03-16,2021-03-15,2021-03-16,2021-03-17,1,-0.001249728319930421
B136,156,E156_2024-06-07,2024-06-05,2024-06-07,2024-06-10,2,-0.0012484874094846887
B136,157,E157_2017-05-03,2017-05-02,2017-05-03,2017-05-04,1,-0.0012105951285652505
B136,158,E158_2017-07-24,2017-07-20,2017-07-24,2017-07-25,2,-0.0011175265412551871
B136,159,E159_2019-11-05,2019-11-04,2019-11-05,2019-11-07,1,-0.0011119081779052964
B136,160,E160_2017-05-09,2017-05-05,2017-05-09,2017-05-10,2,-0.0011093961026430454
B136,161,E161_2021-02-10,2021-02-08,2021-02-10,2021-02-11,2,-0.001075565361279729
B136,162,E162_2020-02-13,2020-02-12,2020-02-13,2020-02-14,1,-0.0010404473923787405
B136,163,E163_2021-10-22,2021-10-21,2021-10-22,2021-10-25,1,-0.0010345638372912802
B136,164,E164_2017-11-22,2017-11-21,2017-11-22,2017-11-24,1,-0.0009247434937689203
B136,165,E165_2017-02-22,2017-02-21,2017-02-22,2017-02-24,1,-0.0008838259844839991
B136,166,E166_2017-02-16,2017-02-15,2017-02-16,2017-02-17,1,-0.0008403361344537785
B136,167,E167_2021-12-28,2021-12-27,2021-12-28,2021-12-29,1,-0.0008016746091836779
B136,168,E168_2021-08-09,2021-08-06,2021-08-09,2021-08-10,1,-0.0007979495115579827
B136,169,E169_2017-01-05,2017-01-04,2017-01-05,2017-01-06,1,-0.0007687576875768931
B136,170,E170_2025-07-18,2025-07-17,2025-07-18,2025-07-21,1,-0.0007405499388239978
B136,171,E171_2017-11-07,2017-11-06,2017-11-07,2017-11-08,1,-0.000707682781193375
B136,172,E172_2019-04-15,2019-04-12,2019-04-15,2019-04-16,1,-0.0006520655134055753
B136,173,E173_2017-11-29,2017-11-28,2017-11-29,2017-11-30,1,-0.0006097560975609762
B136,174,E174_2021-04-06,2021-04-05,2021-04-06,2021-04-07,1,-0.0006075655114118339
B136,175,E175_2021-04-28,2021-04-26,2021-04-28,2021-04-29,2,-0.0005140859551717725
B136,176,E176_2017-11-27,2017-11-24,2017-11-27,2017-11-28,1,-0.00048370784046425364
B136,177,E177_2018-01-24,2018-01-23,2018-01-24,2018-01-25,1,-0.00040209087253728626
B136,178,E178_2025-07-01,2025-06-30,2025-07-01,2025-07-02,1,-0.0003272893892780626
B136,179,E179_2025-09-12,2025-09-11,2025-09-12,2025-09-15,1,-0.00032286830048267046
B136,180,E180_2017-09-14,2017-09-13,2017-09-14,2017-09-15,1,-0.00032194269420038335
B136,181,E181_2019-10-29,2019-10-28,2019-10-29,2019-10-30,1,-0.0002907927737997307
B136,182,E182_2020-12-03,2020-12-02,2020-12-03,2020-12-04,1,-0.0002653849556216725
B136,183,E183_2026-05-27,2026-05-26,2026-05-27,2026-05-28,1,-0.0001736435765233857
B136,184,E184_2017-07-17,2017-07-14,2017-07-17,2017-07-18,1,-9.371192952845053e-05
B136,185,E185_2025-10-03,2025-10-02,2025-10-03,2025-10-06,1,-1.5066594347024065e-05
